year,subject_name,subject_id,topic,subtopic,question_html,option_a,option_b,option_c,option_d,correct_option,difficulty_level,nature,explanation_html
2000,Polity and Governance,3,,, <p>Consider the following functionaries:</p><p>1. Cabinet Secretary.</p><p>2. Chief Election Commissioner</p><p>3. Union Cabinet Ministers</p><p>4. Chief Justice of India</p><p>Their correct sequence in the <em>order of precedence</em> is :</p>,(a) 3-4-2-1,(b) 4-3-1-2,(c) 4-3-2-1,(d) 3-4-1-2,c,Medium,Fundamental(F),<ul><li>The order of Precedence of the functionaries given in the optional are – Chief Justice of India &gt; Cabinet Minister of the Union &gt; Chief Election Commissioner &gt; Cabinet Secretary.</li></ul>
2000,Polity and Governance,3,,, <p>Which one of the following statements is incorrect ?</p>,(a) Goa attained full statehood in 1987,(b)  Diu is an island in the Gulf of Khambhat,(c)  Daman and Diu were separated from Goa by the 56th Amendment of the Constitution of India,(d)  Dadra and Nagar Haveli were under French colonial rule till 1954,d,Difficult,tFundamental(F),<ul><li>Dadra and Nagar Haveli were under the Colonial Rule of the Portuguese (but not the French) until its liberation in 1954.</li></ul>
2000,Polity and Governance,3,,, <p>The Speaker can ask a member of the House to stop speaking and let another member speak. This phenomenon is known as:</p>,(a)  Decorum,(b)  Crossing the floor,(c)  Interpolation,(d)  Yielding the floor,d,Medium,Fundamental(F),<ul><li>Decorum = Parliamentary etiquette. Crossing the floor = Changing the party. Interpolation = Seeking clarification through ruling. Yielding the floor = Respecting Speaker’s order.</li></ul>
2000,Polity and Governance,3,,, <p>Which one of the following statements about a Money Bill is <em><strong>not</strong></em> correct ?</p>,(a) A Money Bill can be tabled in either House of Parliament.,(b) The Speaker of Lok Sabha is the final authority to decide whether a Bill is a Money Bill or not.,(c) The Rajya Sabha must return a Money Bill passed by the Lok Sabha and send it for consideration within 14 days.,(d) The President cannot return a Money Bill to the Lok Sabha for reconsideration.,a,Easy,Applied(A),<ul><li>A money bill can be tabled in Lok Sabha only and it shall not be introduced in the council of states (Rajya Sabha). A bill shall be deemed to be a Money Bill if it contains only provisions dealing with all or any of the matters mentioned under Article – 110 of the Constitution.</li></ul>
2000,Polity and Governance,3,,," <p>A college student desires to get elected to the Municipal Council of his city. The validity of his nomination would depend on the important condition, among others, that </p>",(a)  He obtains permission from the Principal of his college,(b)  He is a member of a political party,(c)  His name figures in the Voter’s List,(d)  He files a declaration owing allegiance to the Constitution of India,c,Easy,Applied(A),<ul><li>The validity of nomination of a person to get elected to the Municipal Council would depend on the condition that his name should be figured in the Voter’s list.</li></ul>
2000,Polity and Governance,3,,, <p>The Parliament can make any law for the whole or any part of India for implementing International treaties : </p>,(a)  With the consent of all the States,(b)  With the consent of the majority of States,(c)  With the consent of the States concerned,(d)  Without the consent of any state,d,Easy,Fundamental(F),"<ul><li>Article 253 – Parliament has power to make any law for the whole or any part of the territory of India for implementing any treaty, agreement or convention with any other country(ies) without the consent of any state.</li></ul>"
2000,Polity and Governance,3,,, <p>Consider the following statements about the Attorney General of India:</p><ol><li>He is appointed by the President of India.</li><li>He must have the same qualifications as are required for a Judge of the Supreme Court.</li><li>He must be a member of either House of Parliament.</li><li>He can be removed by impeachment of Parliament.</li></ol><p>    Which of these statement are correct ?</p>,(a) 1 and 2 only,(b) 1 and 3 only,"(c) 2, 3 and 4 only",(d) 3 and 4 only,a,Medium,Fundamental(F),"<ul><li data-mce-style=""text-align: justify;"" style=""text-align: justify;"">Article 76 of the Constitution says about Attorney General of India. The President shall appoint a person who is qualified to be appointed a Judge of the Supreme Court. He may not be a member of Parliament. He holds office during the pleasure of the President.</li></ul>"
2000,Polity and Governance,3,,, <p>The state which has the largest number of seats reserved for the Scheduled Tribes in the Lok Sabha is:</p>,(a)  Bihar,(b)  Gujarat,(c)  Uttar Pradesh,(d)  Madhya Pradesh,d,Medium,Fundamental(F),"<ul><li style=""text-align: justify;"">(In the given options) Madhya Pradesh, with 5 seats, has the largest number of seats reserved for the Scheduled Tribes in the Lok Sabha. (Bihar and Uttar Pradesh have no seats reserved for STs, Gujarat has 4 seats).</li></ul>"
2000,Polity and Governance,3,,, <p>The primary function of the Finance Commission in India is to _____</p>,(a) Recommend the distribution of revenue between the Centre and the States.,(b) Prepare the Annual Budget.,(c) Advise the President on financial matters.,(d) Allocate funds to various ministries of the Union and State Governments.,a,Medium,Fundamental(F),"<p>The Finance Commission can only advise the President on financial matters, such as the distribution of the net proceeds of taxes between the Union and the States, the principles which should govern the grants-in-aid of the revenues of the States, etc.</p>"
2000,Polity and Governance,3,,, <p>Match List I with List II and select the correct answer using the codes given below the lists :</p><p>List I                                                                                         List II</p><p>(Local bodies)                                                                (States a in 1999)</p><p>A. Zilla Parishads at the sub-divisional level              1. Andhra Pradesh</p><p>B. Mandal Praja Parishad.                                             2. Assam</p><p>C. Tribal Councils.                                                           3. Mizoram</p><p>D. Absence of Village Panchayats.                               4. Meghalaya</p>,"(a) A-2, B-1, C-4, D-3","(b) A-1, B-2, C-4, D-3","(c) A-3, B-2, C-1, D-4","(d) A-2, B-1, C-3, D-4",a,Difficult,tFundamental(F),"<ul><li style=""text-align: justify;"">Zilla Parishad at the sub-divisional level – Assam, Mandal Praja Parishad – Andhra Pradesh Tribal Councils – Meghalaya Absence of Village Panchayats - Mizoram.</li></ul>"
2000,Polity and Governance,3,,, <p>The 73<sup>rd</sup> Constitution Amendment Act 1992 refers to the</p>,(a)  Generation of gainful employment for the unemployed and the under employed men and women in rural area,(b)  Generation of employment for the able bodied adults who are in need and desirous of work during the lean agricultural season,(c)  Laying the foundation for strong and vibrant Panchayati Raj Institutions in the county,"(d)  Guarantee of right to life, liberty and security of person, equality before law and equal protection without discrimination",c,Easy,Fundamental(F),"<ul><li>The 73rd Amendment Act 1992 refers to the laying of the foundation for strong and vibrant Panchayati Raj Institutions in the country, and to organize village panchayat to function as units of the constitution.</li></ul>"
2000,Geography,5,,, <p>Consider the following statements:</p><p>1. Tides are the great help in navigation and fishing.</p><p>2. High tide enables big ships to enter or leave the harbour safely.</p><p>3. Tide prevents siltation in the harbours.</p><p>4. Kandla and Diamond Harbour are tidal ports.</p><p>Which of these statements are correct ?</p>,(a)  1 and,"(b)  2, 3 and 4","(c)  1, 2 and 3","(d)  1, 2, 3 and 4",d,Medium,Applied(A),"<p>All the four statements are correct. Kandla in Gujarat, Diamond Harbour in Calcutta are tidal ports.</p>"
2000,Geography,5,,, <p>Match List I with List II and select the correct answer using the codes given below the lists:</p><p>      List I (Oceanic Trench)                List II (Location)</p><p>    A. Aleutian                                   1. Indian Ocean</p><p>    B. Kermadec                                2. North Pacific Ocean</p><p>    C. Sunda                                       3. South Pacific Ocean</p><p>    D. S. Sandwich                             4. South Atlantic Ocean</p><p>                         </p><p>             </p>,"(a) A-2, B-4, C-1, D-3","(b) A-2, B-3, C-1, D-4","(c) A-1, B-3, C-2, D-4","(d) A-1, B-4, C-2, D-3",b,Difficult,tFundamental(F),<p>A – Aleutian trench in North Pacific Ocean near Bering Sea B – Kermadec trench in South Pacific Ocean near New Zealand C – Sunda trench in Indian Ocean near Sumatra Island D – South Sandwich trench in Atlantic Ocean.</p>
2000,Geography,5,,, <p>Assertion (A): The frequency of floods in North Indian plains has increased during the last couple of decades. </p><p>Reason (R): There has been reduction in the depth of river valleys due to deposition of silt.</p>,(a)  Both A and R are individually true and R is the correct explanation of A,(b)  Both A and R are individually true but R is not the correct explanation of A,(c)  A is true but R is false,(d)  A is false but R is true,a,Medium,Applied(A),<p>Frequency of floods in North Indian plains increased due to reduction in depth of valleys by silt deposition.</p>
2000,Geography,5,,, <p>Which one of the following statements is <em><strong>not</strong></em> true ?</p>,"(a)  Ghaggar""s water is utilized in the Indira Gandhi Canal",(b)  Narmada rises from Amarkantak region,(c)  Nizam Sagar is situated on the Manjira river,(d)  Penganga is a tributary of the Godavari,a,Medium,Fundamental(F),"<ul><li>Indira Gandhi Canal starts from the confluence of Sutlej and Beas river in Punjab, and flows through Rajasthan. It receives water from Sutlej and Beas rivers.</li></ul>"
2000,Geography,5,,, <p>Along which one of the following meridians did India experience the first light of the sunrise of the new millennium?</p>,(a)  2o30’ W,(b)  82o30’ E,(c)  92o30’ W,(d)  92o30’ E,d,Easy,Applied(A),<p>In the given optional 92030’ E is the easternmost point in India. So it experienced the first light of the sunrise of the new millennium.</p>
2000,Geography,5,,, <p>Consider the following provinces of former Yugoslavia :</p><p>1. Bosnia</p><p>2. Croatia</p><p>3. Slovenia</p><p>4. Yugoslavia</p><p>The correct sequence of these provinces from the east to the west is : </p>,(a) 4-1-3-2,(b) 4-1-2-3,(c) 1-4-3-2,(d) 1-4-2-3,b,Difficult,tFundamental(F),"<p>The correct sequence from East to West is Yugoslavia, Bosnia Herzgovina, Croatia, Slovenia. These were former Yugoslavia provinces and divided in 1999.</p>"
2000,Geography,5,,, <p>Which one of the following statements is false?</p>,(a)  All countries other than India have over 80% literacy,(b)  Malaysia and Korea have life expectancy higher than all other countries,(c)  Higher the adult literacy lower is the infant mortality,(d)  The life expectancy at birth in India is almost the same as that of Indonesia,c,Difficult,tApplied(A),
2000,Geography,5,,, <p>Assertion (A): Ganga Plain is the most densely populated part of India. </p><p>Reason (R): Ganga is the most harnessed river of India.</p>,(a)  Both A and R are individually true and R is the correct explanation of A,(b)  Both A and R are individually true but R is not the correct explanation of A,(c)  A is true but R is false,(d)  A is false but R is true,b,Difficult,tApplied(A),<p>Cauvery is the most harnessed river of India.</p>
2000,Geography,5,,, <p>Consider the following statements about the megacities of India :</p><p>1. Population of each megacity is more than 5 million.</p><p>2. All the megacities are importance sea ports.</p><p>3. Megacities are either national or state capitals.</p><p>Which of the statements given above are correct ?</p>,"(a)  1, 2 and 3",(b) 1 and 2,(c)  2 and 3,(d) 1 and 3,d,Medium,Applied(A),"<p>Statements 1 and 3 are correct. Urban agglomerations, with over five million population are called Mega cities. These are six – Greater Mumbai, Kolkata, Delhi, Chennai, Bangalore and Hyderabad. Delhi is N.C.T. and remaining cities are state capitals.</p>"
2000,Geography,5,,, <p>Which one of the following pairs of primitive tribes and places of their inhabitation is <strong>NOT</strong> correctly matched?</p>,(a)  Buksa     : Pauri-Garhwal,(b)  Kol          : Jabalpur,(c)  Munda   : Chhotanagpur,(d) Korba     : Kodagu,a,Difficult,tFundamental(F),"<ul><li>Primitive Tribal Groups (PTGs) are Scheduled Tribes known for their declining or stagnant population, low levels of literacy, pre-agricultural technology, primarily belonging to the hunting and gathering stage, and extreme backwardness. There are 75 PTGs spread over 15 states and UT's.</li></ul>"
2000,Geography,5,,, <p>Which one of the following statements is true according to 1991 census data?</p>,(a)  U.P. has the highest density of population in India,(b)  Himachal Pradesh has the highest female to male sex ratio in India,(c)  West Bengal has the highest growth rate of population in India,(d)  Bihar has the lowest literacy rate in India,d,Medium,Fundamental(F),"<span data-mce-bogus=""true"" id=""_mce_caret""><sup>﻿</sup></span><p>According to 2001 Census, Highest population density is in West Bengal (904). Sex ratio is highe in Kerala (1058). Highest growth rate of population is in Nagaland (64.415). Bihar has the lowest literacy rate (47.43%). Hence, ‘d’ is correct.</p>"
2000,Geography,5,,, <p>Which one of the following ports of India handles the highest tonnage of import cargo?</p>,(a)  Calcutta,(b)  Kandla,(c)  Mumbai,(d)  Visakhapatnam,b,Medium,Fundamental(F),<p>Kandla handles the highest tonnage of import cargo.</p>
