Question no,solution
19,a 
20,b
21,d
22,c
23,c
24,a
25,a
26,a
27,b
28,d
29,a
30,c
31,a
32,a
33,b
34,d
35,a
36,d
37,c
38,d
39,d
40,c
41,d
42,d
43,c
44,a
45,c
46,a
47,b
48,a
49,a
50,a
51,c
52,d
53,b
54,b
55,c
56,b
57,b
58,b
59,d
60,a
61,a
62,e
63,a
64,e
65,b
66,b
67,b
68,c
69,d
70,b
71,d
72,a
73,a
74,c
75,a
76,a
77,d
78,d
79,c
80,d
81,c
82,d
83,d
84,d
85,d
86,d
87,a
88,c
89,a
90,a
91,b
92,c
93,c
94,a
95,b
96,a
97,a
98,d
99,b
100,a
101,c
102,d
103,b
104,a
105,c
106,c
107,a
108,b
109,a
110,c
111,b
112,c
113,b
114,c
115,a
116,b
117,d
118,b
119,a
120,b
121,b
