q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
1,"In India, which one of the following Constitutional Amendments was widely believed to be enacted to overcome the judicial interpretations of the Fundamental Rights?",1st Amendment,42nd Amendment,44th Amendment,86th Amendment,UPSC CSE Pre,2023.0,a,"Exp) Option a is the correct answer

Option a is correct: The First Amendment Act, 1951,
added the fourth clause to Article 15 that empowered the
government to make any law for the upliftment of sociaily
and educationally backward classes of citizens or for the
Scheduled Castes and Scheduled Tribes. It reads, “Nothing
in this article or in clause (2) of article 29 shall prevent the
State from making any special provision for the advancement
of any socially and educationally backward classes of citizens
or for the Scheduled Castes and the Scheduled Tribes.”. The
added clause elucidates that in case such special provisions
are introduced, they cannot be said to be breaching Article
15 and Article 29(2) of the Constitution.

The need to insert this clause was felt after the decision
of the Supreme Court in the State of Madras y. Srimathi
Champakam (1951). According to the facts of this case, the
Madras government issued an Order that provided reservation
on the grounds of religion, race, and caste. This Order was
contended to be in breach of Article 15(1) of the Indian
Constitution. The Court also gave a literal interpretation
to the constitutional provisions and held that reserving
seats in public institutions for backward classes violates
Articles 15(1) and 29(2). Vherefore, in order to nullify the
effect of similar judicial pronouncements, Article 15 was
amended.

Similarly, Article 19(1)(a) grants the right to free speech
and expression to Indian citizens. This right is considered
an essential feature of democracy. However, Article 19(2)
specifies the restrictions that can curtail this freedom. The
First Amendment to the Indian Constitution altered these
restrictions by widening their ambit. The second change, via
the Amendment Act of 1951, was made to Clause 6 of Article
19."
2,"Consider the following Statements: 

1. A bill amending the Constitution requires a prior recommendation of the Président of India.

2. When a Constitution Amendment Bill is presented to the President of India, it is obligatory for the President of India to give his/her assent.

3. A Constitution Amendment Bill must ‘be passed by both the Lok Sabha and the Rajya Sabha by a special majority and there is no provision for joint sitting.

Which of the statements given above are correct?",1 and 2 only,2 and 3 only,1 and 3 only,"1,2 and 3",UPSC CSE Pre.,2022.0,b,"Exp) Option b is the correct answer

Statement 1 is incorrect: Constitution Amendment Bill can
be introduced cither by a minister or by a private member
and does not require prior permission from the President.
Statement 2 is correct: The 24th Amendment of the Indian
Constitution amended Article 368 to provide expressly
that Parliament has the power to amend any provision of the
Constitution. The amendment further made it obligatory
for the President to give his assent when a Constitution
Amendment Bill was presented to him.

Statement 3 is correct: Article 368 of the Indian constitution
requires that the constitution of India can be amended
by both houses of parliament by a 2/3 majority(special
majority). In case of disagreement between both houses,
there is no provision to summon a joint session of
parliament. The reasoning behind this is so as to not let the

running government's majority in Lok Sabha undermine the

Rajya Sabha in a joint sitting."
3,"‘Right to Privacy’ is protected under which

Article of the Constitution of India?",Article 15,Article 19,Article 21,Article 29,UPSC CSE Pre,2021.0,c,"Exp) Option c is the correct answer,

The nine -judge Constitutional Bench of the Supreme Court

in Justice K.S, Puttaswamy (Retd.) and Anr. vs Union Of India

And Ors (2017) has ruled that individual privacy is intrinsic

to life and liberty and an inherent part of the fundamental

rights enshrined in the Article 21 of the Constitution.

| Important Tipss |

What are the various features of Right to Privacy?

| Privacy is a constitutionally protected right emerging

| primarily from the guarantee of life and liberty in

| Article 21 of the Constitution,

| e It includes the preservation of personal intimacies, |

| sanctity of family life, marriage, procreation, the home
and sexual orientation.

e Privacy connotes a right to be left alone. It safeguards
individual autonomy and recognizes one’s ability to
contro! vital aspects of his/her life.

e Privacy is not an absolute right, but any invasion must
be based on legality, need and proportionality.

« Informational privacy is a facet of this right. Dangers to
this can originate from both state and non-state actors."
4,"Alegislation which confers on the executive
or administrative authority an unguided
and uncontrolled discretionary power in
the matter of application of law violates
which one of the following Articles of the

Constitution of India?",Article 14,Article 28,} Article 32,Article 44,UPSC CSE Pre,2021.0,a,"Exp) Option a is the correct answer.
Article 14 of Indian Constitution says that the State shall
not deny to any person equality before the law or the
equal protection of the laws within the territory of India.
The concept of ‘equality before Jaw’ is an element of the
concept of ‘Rule of Law’. This concept has the following three
elements or aspects:
« Absence of arbitrary power
« Equality before the law, that is, equal subjection of all
citizens to the ordinary law of the land

* Theconstitution is the result of the rights of the individual
The first and the second elements are applicable to India.
This means ‘equality before law’ under Article 14 connotes
the absence of arbitrary power with the authoritics. Thus,
when a legislation confers uncontrolled discretionary
powers on any authority, it tends to violate the article 14 of
the constitution,

Important Tipss |

Article 28 is related to the right to freedom of religion.

It provides that no religious instruction shall be provided

in any educational institution wholly maintained out of

State funds, Further, no person attending any educational

institution recognised by the State or receiving aid on

of State funds shall be required to attend any religious
instruction or worship in that institution without his
| consent, __

Article 32 confers the right to remedies for the enforcement
of the fundamental rights of an aggrieved citizen. Article |
32 affirms the right to move the Supreme Court if a
fundamental right is violated. Under this article, the |
Supreme Court can issue writs for the enforcement of any |
of the fundamental rights of the citizens.
Article 44 provides for one of the Directive Principles of
State Policy. Article 44 says that the “State shall endeavour
to secure for the citizens a uniform civil code throughout |
the territory of India”."
5,"Under the Indian constitution,
concentration of wealth violates",The Right to equality,The Directive principles of state policy,The right to freedom,The concept of welfare,UPSC CSE Pre,2021.0,b,"Exp) Option b is the correct answer.
The concentration of wealth violates the Directive principles
of state policy. Under Article 39 of the Constitution of India,
the State shall direct its policy towards securing that the
operation of the economic system does not result in the
concentration of wealth and means of production to the
common detriment.

Other principles of policy to be followed by the State under

the Article 39 are: .

« ‘The citizens, men and women cqually, have the right to
an adequate means to livelihood;

*« The ownership and control of the material resources of
the community are so distributed as best to subserve the
common good;

¢ There is equal pay for equal work for both men and
women;

¢ The health and strength of workers, men and women,
and the tender age of children are not abused and that
citizens are not forced by economic necessity to enter
avocations unsuited to their age or strength;

« Children are given opportunities and facilities to develop
in a healthy manner and in conditions of freedom and
dignity and that childhood and youth are protected
against exploitation and against moral and material
abandonment"
6,"What is the position of the right to property

in India?",Legal right available to citizens only,Legal right available to any person,"Fundamental Right available to citizens
only","Neither Fundamental Right nor legal
right",UPSC CSE Pre,2021.0,b,"Exp) Option b is the correct answer,

The Right to Property is a legal right available to any

person. Article 300-A provides that no person shall be

deprived of his property save by authority of law.

Right to Property was a Fundamental Right in the original

constitution under Article 31, which provided that the

Constitution not only guarantees the right of private

ownership but'also the right to enjoy and dispose of property

free from restrictions other than reasonable restriction, It is
also mentioned that compensation would be paid to a person
whose property has been taken for public purposes.

The Constitution (Forty-fourth Amendment) Act, 1978

deleted the right to property from the Fundamental

Rights. The Amendment omitted Article 31 and Article 19

(1) (f) and inserted in their place Article 300-A."
7,"Which one of the following categories
of Fundamental Rights incorporate
protection against untouchability as a form

- of discrimination?  —",Right against Exploitation,Right to Freedom,Right to Constitutional Remedies,Right to Equality,UPSC CSE Pre.,2020.0,d,"Exp) Option d is the correct answer.

Right to Equality (Article 14 -18) protects the citizens against
any discrimination by the State on the basis of religion, caste,
race, sex, or place of birth.

Under Article 17 of the Constitution of India, Untouchability

is abolished and its practice in any form is forbidden. The

enforcement of any disability arising out of untouchability
shall be an offence punishable in accordance with law.

In 1976, the Untouchability (Offences) Act, 1955 has been

comprehensively amended and renamed as the Protection of

Civil Rights Act, 1955 to enlarge the scope and make penal

provisions more stringent. The act defines civil right as

any right accruing to a person by reason of the abolition of
untouchability by Article 17 of the Constitution.

However, the term ‘untouchability’ has not been defined

either in the Constitution or in the Act."
8,"With reference to the provisions contained
in Part IV of the Constitution of India,
which of the following statements is/are

correct? 

1. They shall be enforceable by courts.

2. They shall not be enforceable by any
court.

3. The principles laid down in this part are
to influence the making of laws by the
State.

Select the correct answer using the code given

below:",1 only,2 only,1 and 3 only,2 and 3 only,UPSC CSE Pre.,2020.0,d,"Exp) Option d is the correct answer.

Directive Principles of State Policy (DPSP) are enshrined in

Part-IV (Article 36 to 51) of the Constitution.

Statement 1 is incorrect and statement 2 is correct. Article

37 of the Constitution states that the provisions contained in

this Part (IV) shall not be enforceable by any court.

Statement 3 is correct. The principles therein laid down are

nevertheless fundamental in the governance of the country

and it shall be the duty of the State to apply these principles
in making laws. Hence, they impose a moral obligation on
the state authorities for their application.

Limitations of Part IV of the Indian Constitution:

1) No Legal Force: The DPSP are non-justiciable in nature
i.e. they are not legally enforceable by the courts for
their violation.

2) Constitutional Conflict: DPSP leads to constitutional
conflict between Centre and states, Centre and
President, Chief Minister and governor.

3) Conflict with Fundamental rights: They can be amended
to implement the fundamental rights.

4) Constitutional validity: A law cannot be struck down by
courts for violating DPSP."
9,"Which Article of the Constitution of India
safeguards one’s right to marry the person
of one’s choice?",Article 19,Article 21,Article 25,Article 29,UPSC CSE Pre.,2019.0,b,"Exp) Option b is the correct answer.
Article 21 of the Constitution of India safeguards one’s right
to marry the person of one’s choice.
In 2014, the Supreme Court took suo-motu cognizance of
newspaper reports of the gang rape of a 20-year-old Indian
woman on the orders of a village court. In this case, Supreme
Court held that “an inherent aspect of Article 21 of the
Constitution would be the freedom of choice in marriage”.
This was reiterated by Supreme court in 2017, The choice of
a partner whether within or outside marriage lies within the
exclusive domain of cach individual. Intimacies of marriage
lie within a core zone of privacy, which is inviolable. The
absolute right of an individual to choose a life partner is not
in the least affected by matters of faith, The Constitution
guarantces to each individual the right freely to practise,
profess and propagate religion."
10,"In the context of polity, which one of the
following would you accept as the most
appropriate definition of liberty?

(UPSC CSE Pre. 2019]","Protection against the tyranny of political
rulers",Absence of restraint,Opportunity to do whatever one likes,Opportunity to develop oneself fully,,,d,"Exp) Option d is the correct answer

The term ‘liberty’ means the absence of restraints on the
activities of individuals, and at the same time, providing
opportunities forthe development of individual personalities.
The Preamble of Constitution of India provides for liberty
of thought, expression, belief, faith and worship. ‘Thus,
in context of polity, liberty provides for an opportunity to
develop oneself fully."
