"id","year","question_html","explanation_html"
"2","2013","        <p>What will follow if a Money Bill is substantially amended by the Rajya Sabha?</p>
      ","# Explanation for Question

## 1. Brief Answer Explanation

- **Correct Option: A – Lok Sabha may proceed with or without Rajya Sabha’s recommendations**  
- According to Article 109 of the Indian Constitution, if the Rajya Sabha returns a Money Bill with recommendations, the Lok Sabha may choose to accept or reject those recommendations.  
- The Rajya Sabha cannot amend a Money Bill; it can only make recommendations within 14 days.  
- The Lok Sabha has the final authority on Money Bills and may pass the Bill as originally introduced or with any modifications it deems fit.  
- This provision ensures the supremacy of the Lok Sabha in financial matters, reflecting the principle that money matters are primarily the domain of the directly elected house.

## 2. Why Other Options Are Not Correct

### Option B

- The Lok Sabha cannot be barred from considering a Money Bill further; it has the ultimate power over Money Bills.  
- The Rajya Sabha’s role is advisory for Money Bills, so it cannot prevent the Lok Sabha from proceeding.  
- Hence, this option contradicts the constitutional provisions under Article 109.

### Option C

- The Lok Sabha does not send Money Bills back to the Rajya Sabha for reconsideration after amendments; the Rajya Sabha only has a 14-day period to make recommendations.  
- The Lok Sabha’s decision is final and does not require further referral to the Rajya Sabha.  
- This option incorrectly suggests a procedural step that does not exist for Money Bills.

### Option D

- Joint sittings of Parliament are not applicable to Money Bills as per Article 108.  
- Money Bills cannot be subject to joint sittings because the Rajya Sabha has limited powers over them.  
- This option is factually incorrect regarding the legislative process for Money Bills.

## 3. Concept Note (Core Knowledge)

A Money Bill is a special category of bill defined under Article 110 of the Indian Constitution, dealing exclusively with taxation, borrowing, expenditure, and related financial matters. Such bills can only be introduced in the Lok Sabha. After passage in the Lok Sabha, the Money Bill is sent to the Rajya Sabha, which can only make recommendations within 14 days. The Lok Sabha may accept or reject these recommendations. The Rajya Sabha cannot amend or reject a Money Bill. This mechanism ensures the Lok Sabha’s primacy in financial legislation, reflecting democratic accountability since the Lok Sabha is directly elected by the people. Joint sittings do not apply to Money Bills, distinguishing them from ordinary bills."
"3","2013","        <p>Which one of the following statements is correct?</p>
      ","# Explanation for Question

## 1. Brief Answer Explanation

**Correct Option: C – No procedure for removal of Governor in the Constitution**

- The Constitution of India does not specify any explicit procedure for the removal of a Governor.
- Governors hold office at the pleasure of the President, which means they can be removed anytime without a formal process.
- This ""pleasure"" doctrine implies that the President can remove a Governor without cause or inquiry.
- Hence, there is no constitutional provision detailing how a Governor can be removed, making option C correct.

## 2. Why Other Options Are Not Correct

### Option A

- The same person **can** be appointed as Governor for two or more states simultaneously.
- This is allowed under Article 153 of the Constitution, which states there shall be a Governor for each state but the same person can be appointed Governor of two or more states.
- Therefore, option A is factually incorrect.

### Option B

- High Court Judges are appointed by the President of India, not the Governor.
- The appointment is made after consultation with the Chief Justice of India and the Governor of the respective state.
- Supreme Court Judges are appointed by the President as well, but the Governor has no role in appointing High Court Judges.
- Hence, option B is incorrect.

### Option D

- In Union Territories with a legislative assembly (e.g., Delhi, Puducherry), the Chief Minister is appointed by the **President** through the Lieutenant Governor (Lt. Governor).
- The Lt. Governor acts as the representative of the President and does not have independent discretion in appointing the Chief Minister.
- The appointment is based on majority support in the assembly.
- Thus, option D is partially true but misleading because the Lt. Governor does not appoint the Chief Minister independently; it is done on behalf of the President.
- Therefore, option D is incorrect.

## 3. Concept Note (Core Knowledge)

The Governor of an Indian state is appointed by the President and holds office during the President’s pleasure, meaning there is no fixed term or formal removal procedure outlined in the Constitution. Article 153 allows the same person to be Governor of multiple states simultaneously. Judges of High Courts are appointed by the President after consultation with the Chief Justice of India and the Governor of the state, while Supreme Court Judges are appointed solely by the President. In Union Territories with legislative assemblies, the Chief Minister is appointed by the President through the Lt. Governor, who acts as the President’s representative, based on majority support in the assembly. The Governor’s role is largely ceremonial but constitutionally significant."
"4","2013","        <p>Which one of the following pairs is correctly matched?</p><p>Geographical feature                               Region</p>
      ","# Explanation for Question

## 1. Brief Answer Explanation

**Correct Option: B – Atlas Mountains: North-Western Africa**

- The Atlas Mountains are a prominent mountain range located in the northwestern part of Africa, stretching across Morocco, Algeria, and Tunisia.
- This range separates the Mediterranean and Atlantic coastlines from the Sahara Desert, making it a significant geographical feature of North-Western Africa.
- The Atlas Mountains are well-known and correctly matched with their region, unlike the other options.

## 2. Why Other Options Are Not Correct

### Option A

- The Abyssinian Plateau is located in the Horn of Africa, primarily in Ethiopia, not Arabia.
- Arabia refers to the Arabian Peninsula, which is geographically distinct from the Abyssinian Plateau.
- Thus, this pair is incorrectly matched.

### Option C

- The Guiana Highlands are located in the northeastern part of South America, covering parts of Venezuela, Guyana, Suriname, and Brazil.
- They are not found in South-Western Africa; this region includes countries like Namibia and Angola.
- Hence, this option is mismatched.

### Option D

- The Okavango Basin is situated in Southern Africa, primarily in Botswana, where the Okavango River forms the Okavango Delta.
- Patagonia is a region in the southern part of South America, mainly in Argentina and Chile.
- Therefore, the Okavango Basin cannot be matched with Patagonia.

## 3. Concept Note (Core Knowledge)

The Atlas Mountains are a major mountain range in North-Western Africa, extending through Morocco, Algeria, and Tunisia. They act as a natural barrier between the Mediterranean coast and the Sahara Desert. The Abyssinian Plateau is a highland region in Ethiopia, part of the Horn of Africa. The Guiana Highlands are located in northeastern South America, known for their table-top mountains called tepuis. The Okavango Basin refers to the inland delta formed by the Okavango River in Botswana, Southern Africa. Understanding the geographical location of these features is crucial for correctly associating them with their respective regions."
"5","2013"," <p>With reference to the history of Indian rock-cut architecture, consider the following statements:</p><ol><li>The caves at Badami are the oldest surviving rock-cut caves in India.</li><li>The Barabar rock-cut caves were originally made for Ajivikas by Emperor Chandragupta Maurya.</li><li>At Ellora, caves were made for different faiths.</li></ol><p>Which of the statements given above is/are correct?</p>","# Explanation for Question

## 1. Brief Answer Explanation

**Correct Option: C – 3 only**

- The Ellora caves are famous for their multi-faith rock-cut architecture, comprising Buddhist, Hindu, and Jain caves, reflecting religious pluralism.
- Statement 1 is incorrect because the oldest surviving rock-cut caves in India are the Barabar caves, not Badami.
- Statement 2 is partially correct in that the Barabar caves were made during the Mauryan period, but they were specifically made for the Ajivikas by Emperor Ashoka’s grandson, Emperor Ashoka’s grandson is not Chandragupta Maurya; Chandragupta Maurya founded the Mauryan Empire but the caves are dated to Ashoka’s reign and later.
- Thus, only statement 3 is fully correct.

## 2. Why Other Options Are Not Correct

### Option A

- The Badami caves date to the 6th century CE and are early examples of Chalukyan rock-cut architecture.
- However, they are not the oldest surviving rock-cut caves; the Barabar caves (3rd century BCE) are older.
- Hence, statement 1 is incorrect, making option A wrong.

### Option B

- While the Barabar caves were indeed made for the Ajivikas, they were commissioned by Emperor Ashoka and his grandson, not Chandragupta Maurya.
- Statement 1 is false, so option B which includes statement 1 is incorrect.
- Statement 3 is correct, but option B excludes statement 1 and includes statement 2, which is partly inaccurate.

### Option D

- This option claims all three statements are correct.
- Since statement 1 is false (Badami caves are not the oldest) and statement 2 incorrectly attributes the caves to Chandragupta Maurya, option D is incorrect.

## 3. Concept Note (Core Knowledge)

Indian rock-cut architecture refers to structures carved directly into natural rock formations, dating from around the 3rd century BCE onwards. The Barabar caves in Bihar, carved during the Mauryan period (3rd century BCE), are the oldest surviving examples and were made for the Ajivikas, an ascetic sect. The Badami caves (6th century CE) represent early Chalukyan temple architecture. Ellora caves (6th-10th century CE) in Maharashtra are renowned for their multi-religious character, featuring Buddhist, Hindu, and Jain caves, showcasing religious coexistence and artistic diversity in medieval India. This evolution reflects the changing religious and political landscape over centuries."
"6","2013","<p>Recombination DNA technology (Genetic Engineering) allows genes to be transferred</p><p>1. across different species of plants</p><p>2. from animals to plants</p><p>3. from microorganisms to higher organisms</p><p>Select the correct answer using the codes given below.</p>","# Explanation for Question

## 1. Brief Answer Explanation

**Correct Option: D – 1, 2 and 3 (All statements are true)**

- Recombinant DNA technology enables the transfer of genes not only within species but also across different species, including plants, animals, and microorganisms.
- Genes can be transferred across different plant species to introduce desirable traits such as pest resistance or drought tolerance.
- It is also possible to transfer genes from animals to plants, for example, introducing animal genes that code for specific proteins into plants.
- Similarly, genes from microorganisms can be inserted into higher organisms (plants or animals) to produce beneficial proteins or traits, such as insulin production in bacteria or pest-resistant crops.
- This cross-species gene transfer is a hallmark of genetic engineering, making all three statements correct.

## 2. Why Other Options Are Not Correct

### Option A

- Refers only to gene transfer across different species of plants.
- While this is true, it ignores the possibility of gene transfer from animals to plants and from microorganisms to higher organisms.
- Hence, it is incomplete and does not cover the full scope of recombinant DNA technology.

### Option B

- Includes gene transfer from animals to plants and from microorganisms to higher organisms.
- However, it excludes gene transfer across different plant species, which is a common and well-established application.
- Therefore, it is partially correct but incomplete.

### Option C

- Covers gene transfer across different plant species and from microorganisms to higher organisms.
- It excludes gene transfer from animals to plants, which is also possible.
- Hence, this option is also incomplete.

## 3. Concept Note (Core Knowledge)

Recombinant DNA technology, or genetic engineering, involves the manipulation and transfer of genes between organisms, regardless of species boundaries. It allows for the insertion of specific genes from one organism into another to express desired traits. This technology is widely used in agriculture (e.g., Bt cotton from bacterial genes), medicine (e.g., insulin production using bacterial genes), and research. The ability to transfer genes across species—plants to plants, animals to plants, and microorganisms to higher organisms—has revolutionized biotechnology by enabling the creation of genetically modified organisms (GMOs) with improved characteristics such as disease resistance, enhanced nutrition, and pharmaceutical production."
"7","2013"," <p>The Chinese traveler Yuan Chwang (Hiuen Tsang) who visited India recorded the general conditions and culture of India at that time. In this context, which of the following statements is/are correct?</p><p>1. The roads and river-routes were completely immune from robbery.</p><p>2. As regards punishment for offences, ordeals by fire, water and poison were the instruments for determining the innocence or guilt of a person.</p><p>3. The tradesmen had to pay duties at ferries and barrier stations.</p><p>Select the correct answer using the codes given below.</p>","# Explanation for Question

## 1. Brief Answer Explanation

**Correct Option: B – Statements 2 and 3 are correct**

- Yuan Chwang (Hiuen Tsang) described that ordeals by fire, water, and poison were indeed used as judicial methods to determine guilt or innocence, reflecting the prevalent legal practices in India during his visit.
- He also noted that tradesmen had to pay duties at ferries and barrier stations, indicating the presence of tolls and taxation on trade routes.
- However, he did not claim that roads and river-routes were completely immune from robbery; on the contrary, banditry was a known issue in many parts of India at that time.

## 2. Why Other Options Are Not Correct

### Option A

- The statement that roads and river-routes were completely immune from robbery is historically inaccurate.
- Yuan Chwang’s accounts mention the dangers and the presence of robbers along trade routes.
- Therefore, statement 1 is incorrect, making option A invalid.

### Option C

- This option includes statement 1, which is incorrect.
- Though statement 3 is true, the inclusion of statement 1 disqualifies this option.

### Option D

- This option assumes all three statements are correct.
- Since statement 1 is false, option D is incorrect.

## 3. Concept Note (Core Knowledge)

Yuan Chwang (Hiuen Tsang), the Chinese Buddhist monk and traveler of the 7th century CE, provided detailed accounts of Indian society, culture, and administration during the Gupta and post-Gupta period. His observations include the judicial system, where ordeals by fire, water, and poison were used to ascertain guilt or innocence. He also described the economic conditions, noting that traders paid tolls and duties at ferries and barrier stations, reflecting organized taxation on trade routes. However, his records do not suggest that roads and river-routes were free from robbery; banditry was a common challenge in ancient India, affecting the security of travelers and merchants. These insights are valuable for understanding the socio-economic and legal fabric of early medieval India."
"8","2013","<p>Consider the following: </p><p>1. Star tortoise </p><p>2. Monitor lizard </p><p>3. Pygmy hog </p><p>4. Spider monkey </p><p>Which of the above are naturally found in India? </p>","# Explanation for Question

## 1. Brief Answer Explanation

- **Correct Option: A – Star tortoise, Monitor lizard, and Pygmy hog are native to India**  
- The Indian Star Tortoise is found in dry areas of India and Sri Lanka.  
- Monitor lizards, including the common Indian monitor, are widespread across India.  
- The Pygmy hog is a critically endangered species found in the grasslands of Assam, India.  
- The Spider monkey, however, is native to Central and South America and is not found naturally in India.

## 2. Why Other Options Are Not Correct

### Option B

- Includes only Monitor lizard and Pygmy hog, excluding Star tortoise.  
- The Star tortoise is indeed native to India, so excluding it makes this option incomplete.

### Option C

- Includes Star tortoise and Spider monkey.  
- Spider monkeys are New World monkeys found in the Americas, not India.  
- This option incorrectly includes the Spider monkey and excludes Monitor lizard and Pygmy hog.

### Option D

- Includes all four species.  
- Spider monkey is not native to India, so this option is factually incorrect.

## 3. Concept Note (Core Knowledge)

India's rich biodiversity includes several unique reptiles and mammals. The Indian Star Tortoise (Geochelone elegans) inhabits dry regions in India and Sri Lanka. Monitor lizards, such as the Indian monitor (Varanus bengalensis), are common reptiles across the subcontinent. The Pygmy hog (Porcula salvania) is one of the rarest wild pigs, found only in Assam's grasslands and is critically endangered. In contrast, the Spider monkey belongs to the New World monkeys, native to Central and South America, and does not occur naturally in India. Understanding species' native ranges is crucial for conservation and ecological studies."
"9","2013","<p>Which of the following can be found as pollutants in the drinking water in some parts of India?</p><p>1. Arsenic</p><p>2. Sorbitol</p><p>3. Fluoride</p><p>4. Formaldehyde</p><p>5. Uranium</p><p>Select the correct answer using the codes given below.</p>","# Explanation for Question

## 1. Brief Answer Explanation

**Correct Option: C – Arsenic, Fluoride, and Uranium as drinking water pollutants**

- Arsenic contamination is a well-documented problem in groundwater in parts of West Bengal, Bihar, and Assam, causing serious health issues.
- Fluoride is naturally found in groundwater in many regions of India, such as Rajasthan and Andhra Pradesh, leading to dental and skeletal fluorosis.
- Uranium contamination has been reported in some areas of Punjab and Rajasthan, posing radiological and chemical health risks.
- These three elements are naturally occurring contaminants that leach into groundwater due to geological and environmental factors.
- Their presence in drinking water is a major public health concern and is monitored by Indian water quality standards.

## 2. Why Other Options Are Not Correct

### Option A (1 and 3 only)

- This option excludes uranium, which is also a known pollutant in certain Indian regions.
- Uranium contamination, though less widespread than arsenic and fluoride, is confirmed in some groundwater sources and must be considered.
- Hence, this option is incomplete.

### Option B (2, 4 and 5 only)

- Sorbitol is a sugar alcohol used as a sweetener and is not a pollutant found in drinking water.
- Formaldehyde is an industrial chemical and disinfectant but is not commonly found as a pollutant in drinking water sources in India.
- Uranium is correctly included here but sorbitol and formaldehyde are irrelevant in this context.
- Therefore, this option is incorrect.

### Option D (1, 2, 3, 4 and 5)

- Includes all substances, but sorbitol and formaldehyde are not typical drinking water pollutants in India.
- Over-inclusion reduces accuracy; only naturally occurring toxic elements like arsenic, fluoride, and uranium are relevant here.
- Hence, this option is incorrect.

## 3. Concept Note (Core Knowledge)

Groundwater contamination by naturally occurring elements like arsenic, fluoride, and uranium is a significant environmental and public health issue in India. Arsenic contamination is prevalent in parts of eastern India due to sedimentary geology, causing skin lesions and cancers. Fluoride occurs naturally in groundwater in arid and semi-arid regions, leading to dental and skeletal fluorosis when consumed in excess. Uranium contamination, though less common, poses chemical toxicity and radiological hazards. These contaminants enter drinking water through geogenic processes, and their monitoring is critical for safe water supply. Other substances like sorbitol (a sweetener) and formaldehyde (an industrial chemical) are not typical groundwater pollutants in India."
"10","2013","         <p>With reference to Indian History, the Members of the Constituent Assembly from the Provinces were</p>
      ","# Explanation for Question

## 1. Brief Answer Explanation

**Correct Option: C – elected by the Provincial Legislative Assemblies**

- Members of the Constituent Assembly representing the provinces were chosen by the elected members of the Provincial Legislative Assemblies.
- This indirect election method was designed to reflect the political composition of the provinces as determined by the provincial elections.
- The system ensured that the Constituent Assembly had representatives who had a mandate from the provincial legislatures, not directly from the general populace.
- This method was laid down under the Cabinet Mission Plan of 1946, which set the framework for the formation of the Constituent Assembly.

## 2. Why Other Options Are Not Correct

### Option A

- Direct elections by the people were not held for the Constituent Assembly members from the provinces.
- The general electorate did not vote directly for the Constituent Assembly; instead, provincial legislatures elected members.
- Hence, this option is factually incorrect regarding the election process.

### Option B

- Members were not nominated by political parties like the Indian National Congress or the Muslim League.
- While these parties influenced the selection through their strength in provincial assemblies, formal nomination by parties was not the method.
- This option confuses party influence with the official election process.

### Option D

- Members were not selected by the British Government or any authority solely for their expertise.
- Although some members were nominated by princely states or special interests, provincial members were elected, not appointed for expertise.
- This option incorrectly assumes an appointment system rather than an electoral one.

## 3. Concept Note (Core Knowledge)

The Constituent Assembly of India was formed in 1946 to draft the Constitution. Its members from the provinces were elected indirectly by the members of the Provincial Legislative Assemblies, reflecting the political representation in those provinces. This electoral process was established by the Cabinet Mission Plan, which aimed to create a representative body without direct elections by the general populace. Members from princely states were nominated by their rulers. The Assembly included representatives from various communities and political groups, ensuring a broad-based participation in constitution-making. This structure balanced democratic representation with practical considerations during the transitional period before independence."
"11","2013","<p>Consider the following animals: </p><p>1. Sea cow </p><p>2. Sea horse </p><p>3. Sea lion </p><p>Which of the above is/are mammal/mammals? </p>","# Explanation for Question

## 1. Brief Answer Explanation

**Correct Option: B – Sea cow and Sea lion are mammals**

- The sea cow, specifically the dugong or manatee, belongs to the order Sirenia and is a fully aquatic mammal that breathes air, nurses its young, and has mammalian characteristics.
- The sea lion is a marine mammal belonging to the family Otariidae; it is a pinniped, warm-blooded, breathes air, and gives birth to live young which it nurses.
- The sea horse, despite its name, is a fish (a member of the family Syngnathidae). It breathes through gills, lays eggs, and does not have mammalian traits.
- Therefore, only the sea cow and sea lion qualify as mammals.

## 2. Why Other Options Are Not Correct

### Option A

- Refers only to the sea cow as a mammal.
- Ignores the sea lion, which is also a mammal.
- Partially true but incomplete since sea lions are mammals too.

### Option C

- Includes sea horse and sea lion as mammals.
- Incorrect because the sea horse is a fish, not a mammal.
- Sea lions are mammals, but sea horses are not.

### Option D

- Includes all three animals as mammals.
- Incorrect because the sea horse is not a mammal but a fish.
- Overgeneralizes the classification.

## 3. Concept Note (Core Knowledge)

Mammals are warm-blooded vertebrates characterized by the presence of mammary glands which produce milk to feed their young, hair or fur, and lungs for breathing air. Marine mammals include species like sea cows (dugongs and manatees) and sea lions, which have adapted to aquatic life but retain mammalian traits such as live birth and nursing. In contrast, the sea horse is a marine fish with gills, scales, and egg-laying reproduction. Understanding the distinction between marine mammals and marine fish is essential in taxonomy and ecology, especially when common names can be misleading."
