q_no,q_statement,q_markdown,a,b,c,d,correct_option,explanation,exam,year,subject_name,section_name,topic_name,subtopic_name,microtopic_name,unit,is_check,for_review,added_at,updated_at
1,<p>Which one of the following statements best reflects the Chief purpose of the &lsquo;Constitution&rsquo; of a country?</p>,"Which one of the following statements best reflects the Chief purpose of the
'Constitution' of a country?",It determines the objective for the making of necessary laws.,It enables the creation of political offices and a government.,It defines and limits the powers of government.,"It secures social justice, social equality and social security.",c,"<p>Exp) Option c is the correct answer Option c is correct: The Constitution contains the basic principles and laws of a nation that determine the powers and duties of the government. A constitution serves multiple purposes. It provides a legitimate legal and political basis for the Government to propose and enact laws, organising public service and settling disputes. Although the Constitution determines the objectives (DPSP) for the making of necessary laws and aims to promote social, economic and political democracy, its chief purpose is to limit the power of government. In fact the Constitutional government is by definition limited government.</p>",UPSC CSE Prelims,2023,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.311785+00:00,2025-06-19T14:33:56.554799+00:00
2,"<p>Consider the following statements in respect of the Constitution Day:</p>

<p>Statement-I: The Constitution Day is celebrated on 26th November every year to promote constitutional values among citizens.</p>

<p>Statement-II: On 26th November, 1949, the Constituent Assembly of India set up a Drafting Committee under the Chairmanship of Dr. B. R. Ambedkar to prepare a Draft Constitution of India.</p>

<p>Which one of the following is correct in respect of the above statements?</p>","Consider the following statements in respect of the Constitution Day:

Statement-I: The Constitution Day is celebrated on 26th November every year to
promote constitutional values among citizens.

Statement-II: On 26th November, 1949, the Constituent Assembly of India set up
a Drafting Committee under the Chairmanship of Dr. B. R. Ambedkar to prepare a
Draft Constitution of India.

Which one of the following is correct in respect of the above statements?",Both Statement-I and Statement-II are correct and Statement-I is the correct explanation for Statement-I,Both Statement-I and Statement-II are correct and Statement-II is not the correct explanation for Statement-I,Statement-l is correct but Statement-II is incorrect,Statement-I is incorrect but Statement-II is correct,c,"<p>Exp) Option c is the correct answer The Constituent Assembly of India was constituted in November 1946 under the scheme formulated by the Cabinet Mission Plan,1946. The assembly deliberated on the matters related to formation and provisions of the Constitution of India. Statement 1 is correct: In India, the Constitution Day is celebrated in India on 26 November every year to commemorate the adoption of the Constitution of India and also it was celebrated to promote the constitutional values among the citizens of India. Statement 2 is incorrect: On 29 August 1947, the Constituent Assembly set up a Drafting Committee under the Chairmanship of Dr. B.R. Ambedkar, to prepare a Draft Constitution for India. On 26 November 1949, the Constituent Assembly of India adopted the Constitution of India, and it came into effect on 26 January 1950.</p>",UPSC CSE Prelims,2023,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.311857+00:00,2025-06-20T08:08:38.092571+00:00
3,<p>Which one of the following factors constitutes the best safeguard of liberty in a liberal democracy?</p>,"Which one of the following factors constitutes the best safeguard of liberty
in a liberal democracy?",A committed judiciary,Centralization of powers,Elected government,Separation of powers,d,"<p>Exp) Option d is the correct answer. The Separation of powers between the legislature, the executive and the judiciary constitute an important safeguard of liberty in a liberal democracy. The doctrine of Separation of powers entails the division of the legislative, executive, and judicial functions of government among different organs. This separation minimizes the possibility of arbitrary excesses by the government, since all the three organs act as check and balance on the powers of each other. Therefore, none of the three organs can usurp the essential functions of other organs. This demarcation prevents the concentration of excessive power by any branch of the Government. It thus helps to safeguard the liberty and rights of the people in a democracy,</p>",UPSC CSE Prelims,2021,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.311887+00:00,2025-06-20T08:10:23.339503+00:00
4,"<p>With reference to India, consider the following statements:</p>

<ol>
	<li>There is only one citizenship and one domicile.</li>
	<li>A Citizen by birth only can become the Head of State.</li>
	<li>A foreigner once granted the citizenship cannot be deprived of it under any circumstance.</li>
</ol>

<p>Which of the statements given above is/are correct?</p>","With reference to India, consider the following statements:

  1. There is only one citizenship and one domicile.
  2. A Citizen by birth only can become the Head of State.
  3. A foreigner once granted the citizenship cannot be deprived of it under any circumstance.

Which of the statements given above is/are correct?",1 only,2 only,1 and 3,2 and 3,a,"<p>Exp) Option a is the correct answer. Statement 1 is correct. The Indian Constitution provides for only a single citizenship, that is, the Indian citizenship. The citizens in India owe allegiance only to the Union. There is no separate state citizenship. Also, when an Indian citizen voluntarily acquires the citizenship of another country, his Indian citizenship automatically terminates. There is only one domicile allowed in India. Domicile Certificate can be made only in one State/UT. In 2010, the Uttarakhand High Court declared that there is no separate domicile for each State and there is only one domicile for the entire country. Statement 2 is incorrect. The President is the Head of the Indian State. In India, beth a citizen by birth as well as a naturalised citizen are eligible for the office of President. Thus, a naturalized citizen can become the Head of the State in India. This is different from USA, where only a citizen by birth (and not a naturalised citizen) is eligible for the office of President. Statement 3 is incorrect. A foreigner, who has been earlier granted Indian citizenship, can be deprived of his citizenship. | Important &lsquo;Tips The Indian citizenship of a person can be terminated by the Central government, if: &cent; he has obtained the citizenship by fraud: * he has shown disloyalty to the Constitution of India: &laquo; he has unlawfully traded or communicated with the enemy during a war; * he has, within five years after registration or naturalisation, been imprisoned in any country for two years; and &cent; he has been ordinarily resident out of India for seven years continuously,</p>",UPSC CSE Prelims,2021,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.311913+00:00,2025-06-20T08:10:53.899840+00:00
5,"<p>What was the exact constitutional status of India on 26<sup>th</sup> January, 1950</p>","What was the exact constitutional status of India on 26th January, 1950",A Democratic Republic,A Sovereign Democratic Republic,A Sovereign Secular Democratic,A Sovereign Socialist secular Democratic Republic,b,"<p>Exp) Option b ts the correct answer. The original Preamble, adopted by the Constituent Assembly on 26th November, 1949 and came into force on 26th January, 1950. declared India as a &ldquo;Sovereign Democratic Republic&rdquo;. By the 42nd Amendment of 1976, enacted during the Rmergency, the words &ldquo;Socialist&rdquo; and &ldquo;Secular&rdquo; were inserted. The Preamble now reads &ldquo;Sovereign Socialist Secular Democratic Republic&rdquo;.</p>",UPSC CSE Prelims,2021,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.311941+00:00,2025-06-20T08:12:02.527925+00:00
6,<p>Constitutional government means</p>,Constitutional government means,A representative government of a nation with federal structure,A government whose head enjoys nominal powers,A government who's Head enjoys real powers,A government limited by the terms of the constitution,d,"Exp) Option d is the correct answer.

Constitutional government seeks to Itmit and regulate
the exercise of political power by the government,

Constitutional government is by definition limited

government. It mcans government conducted according to

rules and principles, which are binding on all political actors.
Important Tips

A constitutional government help to constrain the

unfettered exercise of power by separating or dividing it.

Constitutional government provides a framework in which

the government can be both responsible and representative

- managing conflicts, Protecting the rights, promoting

participation and maintaining security of the citizens.",UPSC CSE Prelims,2021,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.311967+00:00,2025-06-20T08:13:20.471875+00:00
7,<p>The Preamble to the Constitution of India is</p>,The Preamble to the Constitution of India is,part of the Constitution but has no legal effect,not a part of the Constitution and has no legal effect either,a part of the Constitution and has the same legal effect as any other part,a part of the Constitution but has no legal effect independently of other parts,d,"<p>Exp) Option d is the correct answer. The Preamble to a Constitution embodies the fundamental values and the philosophy, on which the Constitution is based, and the aims and objectives, which the founding fathers of the Constitution enjoined the polity to strive to achieve. The Supreme Court in the Berubari Union case (1960) held that the &ldquo;Preamble is not a part of the Constitution.&rdquo; It further said the Preamble can be used as a guiding principle if a term in any article of the Constitution is ambiguous or has more than one meaning. Later in Kesavanand Bharti case (1973), the Supreme Court reversed its ruling and held that the Preamble is a part of the Constitution and can also be amended under Article 368 of the Constitution. Preamble, therefore, is a part of the Constitution. The preamble states the objects of the Constitution and is not enforceable in court thus has no legal effect independently of other parts.</p>",UPSC CSE Prelims,2020,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.311993+00:00,2025-06-20T08:14:50.341383+00:00
8,"<p>Other than the Fundamental Rights, which of the following parts of the Constitution of India reflect/reflects the principles and provisions of the Universal Declaration of Human Rights (1948)?</p>

<ol>
	<li>&nbsp;Preamble</li>
	<li>&nbsp;Directive Principles of State Policy</li>
	<li>&nbsp;Fundamental Duties</li>
</ol>

<p>Select the correct answer using the code given below:</p>","Other than the Fundamental Rights, which of the following parts of the
Constitution of India reflect/reflects the principles and provisions of the
Universal Declaration of Human Rights (1948)?

  1.  Preamble
  2.  Directive Principles of State Policy
  3.  Fundamental Duties

Select the correct answer using the code given below:",1 and 2 only,2 only,1 and 3 only,"1,2 and 3",d,",
Exp) Option d is se correct answer.
Indian constitution was ereatly influenced by the Universal
Declaration of Human Rights, 1948. Part II which stands
for Fundamental Rights a:.2 Part 1V for Directive Principles
of State Policy bear a close resemblance to the Universal
Declaration of Human Rights. he Preamble also provides for
social, economic, political, justice, as enshrined in UDHR and
Article 28, 29 of UHDR, resemble the Fundamental Duties.
Important Tips

Articles under Universal Declaration of Human Rights:

« Articles 1 and 2 reaffirms human dignity, equality and
brotherhood.

« Articles 3-11 are the rights of the individual: the right
to life, outlawing of slavery or torture, equality before
the law, the right to a fair trial etc.

e Articles 12-17 includes freedom of movement, the
right to a nationality, the right to marry and found a
family, as well as the right to own property.

¢ Articles 18-21 are the spiritual and religious rights of
individuals, such as freedom of thought and conscience
(religion), the right to your own opinion, the right to
peaceful assembly and association, and the right to |
vote and take part in government.

¢ Articles 22-27 includes the right to work, the right to
| rest and leisure, the right to a decent standard of living,
| and the right to education.
| « Articles 28-30 remind us that rights come with

obligations and that none of the rights mentioned

| in the UDHR can be used to violate the spirit of the
| United Nations.",UPSC CSE Prelims,2020,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.312021+00:00,2025-06-20T08:18:43.800316+00:00
9,"<p>In the context of India, which one of the following is the characteristic appropriate for bureaucracy?</p>","In the context of India, which one of the following is the characteristic
appropriate for bureaucracy?",An agency for widening the scope of parliamentary democracy,An agency for strengthening the structure of federalism,An agency for facilitating political stability and economic growth,An Agency for the implementation of public policy,d,"<p>Exp) Option d is the correct answer. Option d is correct. Bureaucracy is the executive arm of the government. In traditional classical literature on organs of government, one studied the legislature, the executive and the judiciary with bureaucracy being subsumed under the executive (which comprises the political establishment and the bureaucracy). Now, one finds that bureaucracy is being treated separately and this is indicative of its growing importance. Bureaucracy refers to an administrative policy- implementation group, which is a body of non-clected government officials. The major objective of bureaucracy in India has not been Parliamentary democracy&rsquo;s expansion but rather the implementation of the decisions taken by the executive. With All India Services at the helm of major bureaucratic structure, it cannot be said that strengthening of federal structure is its main characteristic. India&rsquo;s bureaucratic system&rsquo;s most important function since independence has been implementation of public policy, making the decisions of the government reach a conclusion on the ground level. Parliamentary democracy results often in change at the helin of executive, the static and permanent bureaucracy provides continuity of policies and execution rather than political stability.</p>",UPSC CSE Prelims,2020,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.312050+00:00,2025-06-20T08:21:25.003569+00:00
10,<p>A constitutional government by definition is a:</p>,A constitutional government by definition is a:,government by legislature,popular government,multi-party government,limited government,d,"<p>Exp) Option d is the correct answer. A constitutional government by definition is a limited government. A constitutional government is the one that is defined by the constitution of the country. Constitution of a country is supreme law of the land; it is empowered with the sovercign authority of the people (we the people) by the framers and the consent of the legislatures of the states. It is the source of all government powers, and also provides important limitations on the government that protect the fundamental rights of citizens.</p>",UPSC CSE Prelims,2020,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.312075+00:00,2025-06-20T08:22:02.973941+00:00
11,<p>The Ninth Schedule was introduced in the Constitution of India during the prime ministership of:</p>,"The Ninth Schedule was introduced in the Constitution of India during the
prime ministership of:",Jawaharlal Nehru,Lal Bahadur Shastri,Indira Gandhi,Morarji Desai,a,"<p>Exp) Option a is the correct answer. First Constitutional (Amendment) Act of 1951, introduced the Ninth Schedule in the Constitution of India during the prime-ministership of Jawaharlal Nehru. This amendment made laws placed in Ninth Schedule immune to judicial review, even if they violate any Fundamental Rights. Important Tips The Ninth Schedule was brought in the Indian Constitution on 18 June 1951 to abolish Zamindari system. The Ninth Schedule contains a list of laws that cannot be challenged in courts. Out of 284 such laws which are shielded from judicial review, 90 per cent of laws are about agriculture and landholding.</p>",UPSC CSE Prelims,2019,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.312101+00:00,2025-06-20T08:24:12.438214+00:00
12,"<p>Which of the following are regarded as the main features of the &ldquo;Rule of Law&rdquo;?</p>

<ol>
	<li>Limitation of Powers</li>
	<li>Equality before law</li>
	<li>People&rsquo;s responsibility to the Government</li>
	<li>Liberty and civil rights</li>
</ol>

<p>Select the correct answer using the code given below:</p>","Which of the following are regarded as the main features of the ""Rule of Law""?

  1. Limitation of Powers
  2. Equality before law
  3. People's responsibility to the Government
  4. Liberty and civil rights

Select the correct answer using the code given below:",1 and 3 only,2 and 4 only,"1,2 and 4 only","1,2,3 and 4",c,"<p>Exp) Option c is the correct answer. In order to understand the concept of rule of law, it is to be comprehended that the state is governed not by the ruler or the nominated representatives of the people but by the law. The term &lsquo;Rule of Law&rsquo; is nowhere defined in the Indian Constitution but this term is often used by the Indian judiciary in their judgments. Rule of law has been declared by the Supreme Court as one of the basic features of the Constitution so it cannot be amended even by the constitutional amendment. Rule of law is seen as an integral part of good governance. The &ldquo;Rule of Law&rdquo; is a principle of governance which implies that the creation of laws, their enforcement, and the relationships among legal rules are themselves legally regulated, so that no one&mdash;including the most highly placed official&mdash;is above the law. Thus, ensuring equality before law. (Option 2 is correct) People&rsquo;s responsibility to the Government cannot be attributed to &ldquo;Rule of Law&rdquo;. (Option 3 is incorrect) Limitation of powers ensures no man is punished except for a breach of law, thus restricting discretion of the government of the day. It would also help in safeguarding rights of the individual. (Option 1 and 4 are correct)</p>",UPSC CSE Prelims,2018,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.312126+00:00,2025-06-20T08:24:39.770659+00:00
13,"<p>Consider the following statements:</p>

<ol>
	<li>The Parliament of India can place a particular law in the Ninth Schedule of the Constitution of India.</li>
	<li>The validity of a law placed in the Ninth Schedule cannot be examined by any court and no judgement can be made on it.</li>
</ol>

<p>Which of the statements given above is/are correct?</p>","Consider the following statements:

  1. The Parliament of India can place a particular law in the Ninth Schedule of the Constitution of India.
  2. The validity of a law placed in the Ninth Schedule cannot be examined by any court and no judgement can be made on it.

Which of the statements given above is/are correct?",1 only,2 only,Both 1 and 2,Neither 1 nor 2,a,"<p>Exp) Option a is the correct answer. Statement I is correct. The Ninth Schedule contains a list of central and state laws. &lsquo;The Schedule became a part of the Constitution in 1951, when the document was amended for the first time. The Parliament has the power to place a particular law in the Ninth Schedule of the Constitution of India. Statement 2 is incorrect. The mandate of ninth schedule is to prevent judicial scrutiny but in a landmark ruling in IR Coelho versus State of Tamil Nadu, 2007, the Supreme Court of India ruled that all laws (including those in the Ninth Schedule) would be open to Judicial Review if they violated the basic structure of the constitution. The Supreme Court judgment laid that the laws placed under Ninth Schedule after April 24, 1973 shall be open to challenge in court if they violated fundamental rights guaranteed under Article 14. 19, 20 and 21 of the Constitution.</p>",UPSC CSE Prelims,2018,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.312153+00:00,2025-06-20T08:24:53.318289+00:00
14,<p>Democracy&rsquo;s superior virtue lies in the fact that it calls into activity</p>,Democracy's superior virtue lies in the fact that it calls into activity,the intelligence and character of ordinary men and women.,the methods for strengthening executive leadership.,a superior individual with dynamism and vision.,a band of dedicated party workers.,a,"<p>Exp) Option a is the correct answer. The word democracy comes from the Greek word &ldquo;demos&rdquo;, meaning people, and &ldquo;kratos&rdquo; meaning power; so, democracy can be thought of as &ldquo;power of the people&rdquo;: a way of governing which depends on the will of the people. The most obvious ways to participate in government are to vote, or to stand for office and become a representative of the people. Democracy, however, is about far more than just voting, and there are numerous other ways of engaging with politics and government. The effective functioning of democracy, in fact, depends on ordinary people using these other means as much as possible. The take-off point for a democracy is the idea of consent, i.e., the desire, approval and participation of people. It is the decision of people that creates a democratic government and decides about its functioning. So, since democracy requires voter&rsquo;s decision making- hence intelligence and character of common people are called in.</p>",UPSC CSE Prelims,2017,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.312180+00:00,2025-06-20T08:25:42.494243+00:00
15,<p>The mind of the makers of the Constitution of India is reflected in which of the following?</p>,"The mind of the makers of the Constitution of India is reflected in which of
the following?",The Preamble,The Fundamental Rights,The Directive Principles of State Policy,The Fundamental Duties,a,"<p>Exp) Option a is the correct answer. The mind of the makers of the Constitution of India is reflected in the Preamble. The Preamble to a Constitution embodies the fundamental values and the philosophy, on which the Constitution is based. It embodies the aims and objectives, which the founding fathers of the Constitution enjoined the polity to strive to achieve. The Preamble embodies the basic philosophy and fundamental values-political, moral and religious-on which the Constitution is based, It contains the grand and noble vision of the Constituent Assembly, and reflects the dreams and aspirations of the founding fathers of the Constitution. In the words of Sir Alladi Krishnaswami Iyer, a member of the Constituent Assembly who played a significant role in making the Constitution, &ldquo;The Preamble to our Constitution expresses what we had thought or dreamt so long&rsquo; ,</p>",UPSC CSE Prelims,2017,Polity,,,,,1,TRUE,FALSE,2025-06-19T11:59:36.312205+00:00,2025-06-20T08:26:10.787293+00:00
