q_no,q_statement,a,b,c,d,exam,year
47,Daily weather map showing isobars is an example of:,Choropteth map,Isopleth map,Chorochromatic map,Choro schematic map,UPSC CSE Pre,1997.0
48,"“The distance from Aceh tn the far North-West to Torres Strait in the east 1s 5000 miles, almost equal to the distance London and Baghdad, The archipelago has 14,000 Islands, some mere equatorial rocks, others some of the largest in the world.” This description best fits:",West Indies,Japan,Philippines,Indonesia,UPSC CSE Pre,1997.0
49,"Consider the map given below. 
wesAfghanistan ycs Punjab:77,Gow? .%, .1 Batuchista com Rejputana
The dotted (broken) line in the map is the-",Durand line,Mac Mahon line,Line of demarcation between India and Pakistan suggested by the Boundary Commission (1947),Route followed by the Younghusband Expedition,UPSC CSE Pre,1996.0
50,The Palk Bay les between:,Gulf of Kachchh and Gulf of Khambhat,Gulf of Mannar and Bay of Bengal,Lakshadweep and Maldives Islands,Andaman and Nicobar Islands,UPSC CSE Pre,1996.0
51,"Match lst-I with Ist-II and select the correct answer using the codes given below the lists:
A. European 1. Paris to Istanbul Tran- Continental Railwa’
B. Trans-Andean | 2. Leningrad to Rallwa: Vladivostok
C. Trans- 3. Leningrad to iberian Volgograd Ratlwa:
4. Buenos Aires top Valparais __TS, Paris to Warsaw |
Code: (UPSC CSB Pre 1995)
ABCD",5 4 2 1,1 4 3 2,5 1 2 3,1 2 3 4,,
52,Which one of the following Is the continent with the highest mean elevation in the world?,Antarctica,North America,Asia,South America,UPSC CSE Pre,1995.0
53,"Given below is a map of some countries which were pacts of the erstwhile Soviet Unlon, with water bodies shown by shaded areas; (UPSC CSE Pre 1995)
The countries marked 1, 2, 3, 4, and 5 are respectively:","Tajikistan, Turkmenia, Uzbekistan, Kisgizia, Kazakhstan","Turkmenia, Kirgizia, Tajikistan,Uabeklstan, Kazakhstan","Kazakhstan, Uzbekisten, Tajikistan, Kirgizia, Turkmenta
(4) Kazakhstan, Turkmenis, Uzbekistan, Kirgizta, Tajikistan",,,
54,"Even though the Rallways are the most pervasive mode of transport In Indle, it Is road transport which received the maximum impetes in most of the post-independence
perlod, Which of the following are the reasons for this?
1. Railways are cheap to operate but the associated capital costs are very high.
2. Given the geographic spread of human settlements, it Is unrealistic that the railways alone can serve the needs of transport.
3. The per unit (tonne/km) cost of transportis cheaper in the road compared to reli transport.
4 Given the indivisible mature of theRailways, it is not always convenient for the population to avail it with the same ease as private cara, buses or twowheelers,
Select the correct answer by using codes given
below:","1,2 and 3","1,2and 4","1, 3and 4","2,3 and 4",UPSC CSE Pre,1994.0
55,"Constder the map given below: The numbers marked 1, 2, 3 and 4 respectively indicate the islands of; 
oyZs bw) 1 % 8 2 4 :","The Bahamas, Azores, Falktend Cape Verde","The Bahamas, Azores, Cape Verde and Falklend","Azores, Cape Verde, the Bahames and Falkland","Cape Verde, the Bahamas, Falkland and Avores",UPSC CSE Pre,1994.0
56,The shortest eir-route from Perth to London ls:,"Perth, Bombay, Rome, London","Perth, Ankara, Paris, London","Perth, Aden, Paris, London","Perth, Mombasa, Rome, London
¥Rea Other Examination Previous Years’ bel Questions",UPSC CSE Pre,1994.0
57,Which of the following coaste Is the largest Udal energy-producing area in India?,Manner Coast,"Kerate Coast
(C) North Circars Coast",,Khambhat Coast,UPPCS (Pre),2022.0
58,Which one of the following is a land locked country?,Suriname,Bolivia,Uruguay,Peru,UPPCS (Pre),2022.0
59,"With reference to Borneo Island, located in Southeast Asia, which of the foltowin statements isfere truet 
1. It is divided into three countries.
2. It has been formed due to volcano deposition.
Sclect the correct answer using the codes given below.",Both 1 and 2,Only 1,Neither 1 nor 2,Only 2,UPPCS (Pre),2022.0
60,Which of the following countrics ts notlocated on the bank of the Black Sea?,Syria,Turkey,Georgia,Bulgaria,U.P.P.C.S. (Pre),2021.0
61,Nobi and Kanto plains are located in whichof the following countries,North Korea,South Korea,Japan,China,U.P.P.C.S. (Pre),2021.0
62,"With reference to Socotra Island, which of the following statements is/are correct?

1. It is an Ieland of Oman, situated in the Arabian Sea,
2. Ic waa designated as a world natural heritage site by UNESCO in 2008,
Select the correct answer using the codes given helow,",Only 1,Only 2,Both 1 and 2,Neither 1 nor 2,U.P.P.C.S. (Pre),2021.0
63,"Which of the following is the correct sequence of the Islands of Indonesia from
West to East?","Java, Sumatra, Lombok, Ball","Surnatra, Java, Bali, Lombok","Sumatra, Java, Lombok, Bali","Bali, Sumatra, Java, Lombok",U.P.P.C.S. (Pre),2021.0
64,Which of the following Islands is not located in the Caribbean Sea?,Grenada,Montserrat,Madeira,Anguilla,U.P.P.C.S. (Pre),2021.0
65,Darling range is situated along which of the following coasts of Australia?,North-Eastern Coast,Southern Coast,Eastern Coast,South-Western Coast,UPPCS (Pre),2020.0
66,"Which one of the following is not correctly matched? 
(Capital) ~Rabat",,Tunisia,Algeria falgiers,Cape Verde,UPPCS (Pre),2026.0
67,"In the Suet Canal region, the correct order of lakes lying from North to South direction is",Lake Timsah - Little Bitter Lake - Great Bitter Lake - Lake Manzata,Great Biter Lake - Little Bitter lake - Jake ‘Timsah - Lake Manzala,Lake Manzala - Great Bitter lake - Little Bitter Lake - Lake Timsah,Lake Manzale - Lake Timsah - Great Bitter Lake - Little Bitter Lake,U.P.P.C.S. (Pre),2019.0
68,"At which of the following places is the Secretariat of the International Solar
Alliance (ISA) located at present?",Paris,New Delhi,Gueugramn,New York,UPPCS (Pre),2019.0
69,Telegraphic Plateau is a part of:,North Atlantic Ridge,South Atlantic Ridge,Indian Ocean Ridge,None of these,U.P.P.C.S. (Pre),2019.0
70,"Match list-1 with list-Il and select the correct answer using the codes given below the lists; (Grassland/Hil (Location/State)Station) - oT
A. Banni 1, Uttarakhand Grassland
B. Bugyal 2. Jammu and Kashmir Grassland
3.Khajar  D.Pahalgem | 4. Himachal Pradesh
Code: (UPPCS (Mains) 2017;
ABCD",1 3 2 4,3 1 4 2,3 1 2 4,4 2 1 3,,
71,Which one amongst the following 1s the largest plateau?,Coconino,Aquarius,"Colorado
(4) Columbia",,U.P.P.C.S. (Pre),2017.0
72,Iscael has common borders with:,"Lebanon, Syria, Jordan and Egypt","Lebanon, Syria, Turkey and Jordan","Cyprus, Turkey, Jordan and Egypt","Turkey, Syria, Iraq and Yemen",U.P.P.C.S. (Pre),2017.0
73,Red Sea ts an example of-,Volcanic Valtey,Eroded valley,Axial trough,U-shaped valley,"U.P.P.C.S, (Pre)",2017.0
74,Which of the following is not correctly matched?,Sonoran United States of America,Taktamakan,China,Gibson,UPPCS (Mains),2016.0
75,"Which of the following is not correctly matched? 
(ports TiCouatey) The Netherland",,Igarka China,Momevideo | Urugua,Jakarta Indonesia,UPPCS (Pre),2016.0
76,Where Is the Central Research Institute for Dryland Agriculture (CRIDA) located?,Hyderabad,Hissar,New Delhi,) Rajkot,U.P.P.C.S. (Matns),2015.0
77,Which one of the following continents has the largest number of countries?,Africa,Europe,Asia,South America,U.P.P.C.S. (Mains),2015.0
78,Which one of the following is known as the ‘Sea of Mountains’?,Japan,British Columbia,West Coast of South America,South-East Asia,U.P.P.C.S. (Mains),2015.0
