year,subject_name,topic_name
2013,Polity and Governance,
2013,Polity and Governance,
2013,Geography,Location of important physical features
2013,Art and Culture,Indo-Islamic
2013,Science and Technology,Biotechnology
2013,Ancient and Medieval History,Dynasties of the North
2013,Environment,Indian Biodiversity
2013,Environment,Sources of Pollution
2013,History of Modern India,Constitutional Reforms
2013,Environment,Indian Biodiversity
2013,Polity and Governance,
2013,Polity and Governance,
2013,Environment,Renewable Energy
2013,Geography,Earth Movement/Season and Days
2013,Geography,Indian Drainage System
2013,Geography,Geography — Water Resources
2013,Geography,Natural Vegetation
2013,Geography,Geological time scale
2013,Polity and Governance,Non-Constitutional Bodies
2013,History of Modern India,Tribal and Peasant Uprisings
2013,Polity and Governance,
2013,Environment,Ecosystem Basics and Functions
2013,Environment,Ecosystem Basics and Functions
2013,Geography,Soils
2013,Polity and Governance,Panchayats
2013,Polity and Governance,Miscellaneous Provisions
2013,Environment,Sources of Pollution
2013,Polity and Governance,
2013,Environment,Sources of Pollution
2013,Environment,Sources of Pollution
2013,Environment,Ecosystem Basics and Functions
2013,Geography,Indian Drainage System
2013,Environment,Biodiversity initiatives and legislations
2013,Environment,Ecology Basics
2013,Environment,Indian Biodiversity
2013,Art and Culture,Buddhism
2013,Ancient and Medieval History,Vedic Age
2013,Polity and Governance,Directive Principles of State Policy (Part IV: Articles 36–51)
2013,History of Modern India,Constitutional Reforms
2013,History of Modern India,Quit India Movement (1942)
2013,Economics,Foreign Exchange
2013,Economics,Banking System
2013,Economics,Banking System
2013,Economics,Government Fiscal Policies
2013,Ancient and Medieval History,Indus Valley Civilization
2013,Science and Technology,Healthcare Technology
2013,Ancient and Medieval History,Other Regional Kingdoms
2013,Environment,Ecology Basics
2013,Science and Technology,Chemistry
2013,Science and Technology,Healthcare Technology
2013,Polity and Governance,
2013,Ancient and Medieval History,DELHI SULTANATE
2013,Environment,Ecosystem Basics and Functions
2013,Geography,Ocean Currents
2013,Geography,Natural Vegetation
2013,Economics,Foreign Exchange
2013,Art and Culture,Indian Paintings
2013,Art and Culture,Heterodox Philosophies
2013,Polity and Governance,Union Executive
2013,Geography,Temperature
2013,Geography,"Mineral, Energy and Resources"
2013,Geography,Soils
2013,Geography,"Mineral, Energy and Resources"
2013,Geography,Agriculture
2013,Geography,Climatic Regions of the World and Vegetation
2013,Economics,Inflation
2013,Economics,Unemployment
2013,Polity and Governance,
2013,Polity and Governance,
2013,Polity and Governance,Indian Polity — Parliament
2013,Polity and Governance,Non-Constitutional Bodies
2013,Geography,Weather and Climate
2013,Geography,Population distribution and density
2013,Economics,Concept of Money
2013,Economics,Monetary Policy in India
2013,Economics,Banking System
2013,Economics,Industry Sector
2013,Economics,Poverty
2013,Art and Culture,Art & Culture — Dance
2013,History of Modern India,Famous Personalities
2013,History of Modern India,British Administrative Policies
2013,Economics,Inflation
2013,Economics,Foreign Exchange
2013,Economics,Inflation
2013,Economics,Monetary Policy in India
2013,Science and Technology,Biology
2013,Environment,Indian Biodiversity
2013,Science and Technology,Physics
2013,Science and Technology,Physics
2013,Science and Technology,Physics
2013,Science and Technology,Biology
2013,Economics,Economic Growth and Development
2013,Science and Technology,Biology
2013,Science and Technology,Biology
2013,Science and Technology,Physics
2013,Science and Technology,Physics
2013,Science and Technology,Biotechnology
2013,Polity and Governance,Non-Constitutional Bodies
2013,Economics,National Income Accounting
2013,Economics,Banking System
2014,Environment,Biodiversity initiatives and legislations
2014,Environment,Biodiversity initiatives and legislations
2014,Geography,Location of important physical features
2014,Current Affairs,Economy — Agriculture
2014,Environment,Biodiversity initiatives and legislations
2014,Environment,Global Efforts
2014,Science and Technology,Energy Technologies
2014,Art and Culture,Language
2014,Environment,Indian Biodiversity
2014,Environment,Biodiversity initiatives and legislations
2014,Current Affairs,International Relations — International Organizations
2014,Science and Technology,Healthcare Technology
2014,Geography,Earth Movement/Season and Days
2014,Environment,Indian Biodiversity
2014,History of Modern India,Constitutional Reforms
2014,Environment,Sources of Pollution
2014,Environment,Natural Disasters
2014,Polity and Governance,Non-Constitutional Bodies
2014,Environment,Ecology Basics
2014,Environment,Indian Biodiversity
2014,Ancient and Medieval History,Dynasties of the North
2014,Environment,Ecology Basics
2014,Geography,Natural Vegetation
2014,Environment,Sources of Pollution
2014,Ancient and Medieval History,Mahajanpada
2014,Art and Culture,Fair and Festivals
2014,Polity and Governance,Economy — Taxation
2014,Economics,Investment Models
2014,Economics,Planning in India
2014,Ancient and Medieval History,Dynasties of the North
2014,Economics,Banking System
2014,Economics,Banking System
2014,Economics,Banking System
2014,Current Affairs,International Relations — Middle East
2014,Current Affairs,International Relations — International Organizations
2014,Current Affairs,International Relations — Conflicts
2014,Science and Technology,Defense Technology
2014,Current Affairs,Science & Tech — Energy
2014,Geography,Population distribution and density
2014,Current Affairs,Agriculture — Crop Production
2014,Geography,Natural Vegetation
2014,Geography,Soils
2014,Geography,Indian Climate
2014,Art and Culture,Temples
2014,Geography,Indian Drainage System
2014,Environment,Aquatic Ecosystem
2014,Art and Culture,Hindu Orthodox Philosophies
2014,Geography,Indian Physiographic Divisions
2014,Polity and Governance,Schedules (12 Schedules)
2014,Environment,Biodiversity initiatives and legislations
2014,Geography,Location of important physical features
2014,Geography,Location of important physical features
2014,Environment,Global Efforts
2014,Art and Culture,Hindu Orthodox Philosophies
2014,Polity and Governance,Directive Principles of State Policy (Part IV: Articles 36–51)
2014,Geography,Soils
2014,Polity and Governance,Non-Constitutional Bodies
2014,Polity and Governance,Non-Constitutional Bodies
2014,Polity and Governance,Fundamental Rights (Part III: Articles 12–35)
2014,Polity and Governance,Indian Polity — Governor
2014,Economics,Monetary Policy in India
2014,Polity and Governance,Indian Polity — Executive
2014,Polity and Governance,The Union Legislature (Parliament)
2014,Environment,Indian Biodiversity
2014,Science and Technology,Biology
2014,Science and Technology,Biotechnology
2014,Science and Technology,Biology
2014,Current Affairs,Science & Tech — Space
2014,Geography,Agriculture
2014,Science and Technology,Chemistry
2014,Polity and Governance,Supreme Court
2014,Science and Technology,Biotechnology
2014,Science and Technology,Biotechnology
2014,Science and Technology,Biology
2014,Polity and Governance,Indian Polity — Judiciary
2014,Art and Culture,Fair and Festivals
2014,Geography,Indian Drainage System
2014,Environment,Biodiversity initiatives and legislations
2014,Environment,Global Efforts
2014,Environment,Aquatic Ecosystem
2014,History of Modern India,British Policies for Consolidation
2014,History of Modern India,Civil Disobedience Movement (1930–1934)
2014,Art and Culture,Music
2014,Art and Culture,Fair and Festivals
2014,Art and Culture,Indian Paintings
2014,History of Modern India,Subhas Chandra Bose and INA
2014,Art and Culture,Martial Arts
2014,Art and Culture,Folk Dances
2014,Art and Culture,Buddhism
2014,Ancient and Medieval History,Other Regional Kingdoms
2014,Art and Culture,Music
2014,History of Modern India,Constitutional Reforms
2014,Art and Culture,Indo-Islamic
2014,Geography,Agriculture
2014,Environment,Biodiversity initiatives and legislations
2014,Environment,Biodiversity initiatives and legislations
2014,Science and Technology,Healthcare Technology
2014,Science and Technology,Nanotechnology
2014,Economics,International Relations — International Organizations
2014,Economics,Budget and its Concept
2015,Current Affairs,Economy — Financial Inclusion
2015,Current Affairs,Economy — Finance Commission
2015,Current Affairs,International Relations — International Organizations
2015,Economics,Government Fiscal Policies
2015,Geography,Cyclones and Anticyclones
2015,Geography,Location of India
2015,Polity and Governance,Directive Principles of State Policy (Part IV: Articles 36–51)
2015,Economics,Industry Sector
2015,Environment,Indian Biodiversity
2015,Current Affairs,Science & Tech — Innovation
2015,Environment,Sources of Pollution
2015,Environment,Biodiversity initiatives and legislations
2015,Economics,Economy — Agricultural Pricing
2015,Geography,Ocean Currents
2015,Geography,Indian Drainage System
2015,Ancient and Medieval History,DELHI SULTANATE
2015,Current Affairs,Health — Infectious Diseases
2015,Science and Technology,Energy Technologies
2015,Environment,Indian Biodiversity
2015,History of Modern India,Economic and Social Policies
2015,Current Affairs,International Relations — International Organizations
2015,Economics,Monetary Policy in India
2015,Science and Technology,Nanotechnology
2015,Economics,Agriculture Inputs
