Question no,solution
38,c
39,a
40,c
41,d
42,d
43,d
44,b
45,c
46,b
47,c
48,d
49,d
50,d
51,c
52,b
53,c
54,b
55,d
56,c
57,c
58,b
59,a
60,c
61,d
62,b
63,c
64,c
65,c
66,b
67,b
68,b
69,c
70,b
71,d
72,c
73,a
74,c
75,a
76,a
77,d
78,a
79,d
80,d
81,c
82,a
83,d
84,a
85,d
86,c
87,a
88,c
89,b
90,a
91,b
92,b
93,a
94,a
95,c
96,a
97,d
98,d
99,b
100,c
101,b
102,d
103,c
104,c
105,a
106,a
107,c
108,d
109,a
110,a
111,a
112,a
113,d
114,d
115,b
116,a
117,a
118,b
119,d
120,b
121,c
122,a
123,c
124,a
125,b
126,c
127,c
128,b
129,c
130,a
131,d
132,c
133,a
134,a
135,c
136,d
137,c
138,a
139,c
140,c
141,c
142,b
143,a
144,d
145,b
146,b
147,b
148,d
149,b
150,a
151,b
152,a
153,c
154,b
155,b
156,c
157,b
158,c
159,a
160,d
161,a
162,a
163,a
164,a
165,b
166,c
167,c
168,d
169,a
170,b
171,d
172,c
173,c
174,a
175,d
176,a
177,b
178,b
179,d
180,d
181,c
182,d
183,a
184,c
185,b
186,b
187,a
188,a
189,b
190,d
191,b
192,b
193,a
194,c
195,a
196,a
197,b
198,d
199,c
200,d
201,a
202,b
203,a
204,d
205,c
206,b
207,b
208,c
209,d
210,b
211,c
212,c
213,d
214,d
215,d
216,c
217,c
218,c
219,d
220,d
221,c
222,b
223,d
224,c
225,b
226,c
227,b
228,d
229,d
230,c
231,a
232,c
233,d
234,a
235,b
236,a
237,d
238,a
239,c
240,a
241,a
242,b
243,a
244,d
245,b
246,a
247,a
248,b
249,b
250,c
251,b
252,b
253,b
254,a
255,b
256,c
257,d
258,a
259,a
260,b
261,a
262,d
263,a
264,d
265,a
266,a
267,a
268,a
269,b
270,b
271,c
272,a
273,d
274,b
275,d
276,b
277,a
278,c
279,d
280,d
281,a
282,b
283,d
284,c
285,d
286,d
287,d
288,d
289,c
290,c
291,d
292,b
293,d
294,d
295,d
296,a
297,c
298,b
299,b
300,a
301,a
302,a
303,d
304,a
305,b
306,c
307,b
308,a
309,d
310,d
311,d
312,d
313,a
314,c
315,c
316,d
317,c
318,b
