Question no,solution,,,,,,,,,
164,a,,,,,,,,,
165,a,,,,,,,,,
166,c,,,,,,,,,
167,d,,,,,,,,,
168,c,,,,,,,,,
169,d,,,,,,,,,
170,d,,,,,,,,,
171,b,,,,,,,,,
172,c,,,,,,,,,
173,d,,,,,,,,,
174,d,,,,,,,,,
175,a,,,,,,,,,
176,a,,,,,,,,,
177,c,,,,,,,,,
178,a,,,,,,,,,
179,c,,,,,,,,,
180,c,,,,,,,,,
181,c,,,,,,,,,
182,b,,,,,,,,,
183,a,,,,,,,,,
184,d,,,,,,,,,
185,b,,,,,,,,,
186,c,,,,,,,,,
187,b,,,,,,,,,
188,b,,,,,,,,,
189,a,,,,,,,,,
190,d,,,,,,,,,
191,a,,,,,,,,,
192,a,,,,,,,,,
193,c,,,,,,,,,
194,a,,,,,,,,,
195,a,,,,,,,,,
196,a,,,,,,,,,
197,d,,,,,,,,,
198,b,,,,,,,,,
199,a,,,,,,,,,
200,d,,,,,,,,,
201,b,,,,,,,,,
202,c,,,,,,,,,
203,c,,,,,,,,,
204,c,,,,,,,,,
205,d,,,,,,,,,
206,b,,,,,,,,,
207,b,,,,,,,,,
208,d,,,,,,,,,
209,a,,,,,,,,,
210,c,,,,,,,,,
211,b,,,,,,,,,
212,c,,,,,,,,,
213,d,,,,,,,,,
214,a,,,,,,,,,
215,d,,,,,,,,,
216,d,,,,,,,,,
217,d,,,,,,,,,
218,b,,,,,,,,,
219,c,,,,,,,,,
220,c,,,,,,,,,
221,d,,,,,,,,,
222,c,,,,,,,,,
223,c,,,,,,,,,
224,a,,,,,,,,,
225,d,,,,,,,,,
226,b,,,,,,,,,
227,b,,,,,,,,,
228,c,,,,,,,,,
229,a,,,,,,,,,
230,d,,,,,,,,,
231,b,,,,,,,,,
232,a,,,,,,,,,
233,a,,,,,,,,,
234,b,,,,,,,,,
235,d,,,,,,,,,
236,c,,,,,,,,,
237,c,,,,,,,,,
238,a,,,,,,,,,
239,a,,,,,,,,,
240,b,,,,,,,,,
241,c,,,,,,,,,
242,d,,,,,,,,,
243,c,,,,,,,,,
244,b,,,,,,,,,
245,c,,,,,,,,,
246,a,,,,,,,,,
247,b,,,,,,,,,
248,a,,,,,,,,,
249,a,,,,,,,,,
250,a,,,,,,,,,
251,d,,,,,,,,,
252,a,,,,,,,,,
253,c,,,,,,,,,
254,a,,,,,,,,,
255,c,,,,,,,,,
256,c,,,,,,,,,
257,b,,,,,,,,,
258,a,,,,,,,,,
259,c,,,,,,,,,
260,a,,,,,,,,,
261,c,,,,,,,,,
262,a,,,,,,,,,
263,c,,,,,,,,,
264,a,,,,,,,,,
265,b,,,,,,,,,
266,c,,,,,,,,,
267,b,,,,,,,,,
268,c,,,,,,,,,
269,b,,,,,,,,,
270,d,,,,,,,,,
271,b,,,,,,,,,
272,c,,,,,,,,,
273,d,,,,,,,,,
274,d,,,,,,,,,
275,d,,,,,,,,,
276,d,,,,,,,,,
277,b,,,,,,,,,
278,b,,,,,,,,,
279,b,,,,,,,,,
280,c,,,,,,,,,
281,b,,,,,,,,,
282,a,,,,,,,,,
283,b,,,,,,,,,
284,d,,,,,,,,,
285,a,,,,,,,,,
286,c,,,,,,,,,
287,b,,,,,,,,,
288,d,,,,,,,,,
289,a,,,,,,,,,
290,c,,,,,,,,,
291,b,,,,,,,,,
292,a,,,,,,,,,
293,a,,,,,,,,,
294,d,,,,,,,,,
295,b,,,,,,,,,
296,c,,,,,,,,,
297,c,,,,,,,,,
298,d,,,,,,,,,
299,b,,,,,,,,,
300,b,,,,,,,,,
301,b,,,,,,,,,
302,a,,,,,,,,,
303,a,,,,,,,,,
304,c,,,,,,,,,
305,d,,,,,,,,,
306,d,,,,,,,,,
307,d,,,,,,,,,
308,a,,,,,,,,,
309,a,,,,,,,,,
310,b,,,,,,,,,
311,a,,,,,,,,,
312,c,,,,,,,,,
313,d,,,,,,,,,
314,c,,,,,,,,,
315,b,,,,,,,,,
316,a,,,,,,,,,
317,b,,,,,,,,,
318,d,,,,,,,,,
319,d,,,,,,,,,
320,c,,,,,,,,,
321,a,,,,,,,,,
322,a,,,,,,,,,
323,b,,,,,,,,,
324,d,,,,,,,,,
325,b,,,,,,,,,
326,c,,,,,,,,,
327,b,,,,,,,,,
328,b,,,,,,,,,
329,b,,,,,,,,,
330,a,,,,,,,,,
331,a,,,,,,,,,
332,d,,,,,,,,,
333,b,,,,,,,,,
334,a,,,,,,,,,
335,b,,,,,,,,,
336,c,,,,,,,,,
337,d,,,,,,,,,
338,c,,,,,,,,,
339,d,,,,,,,,,
340,d,,,,,,,,,
341,c,,,,,,,,,
342,c,,,,,,,,,
343,a,,,,,,,,,
344,c,,,,,,,,,
345,c,,,,,,,,,
346,c,,,,,,,,,
347,c,,,,,,,,,
348,a,,,,,,,,,
349,c,,,,,,,,,
350,c,,,,,,,,,
351,d,,,,,,,,,
352,a,,,,,,,,,
353,c,,,,,,,,,
354,c,,,,,,,,,
355,c,,,,,,,,,
356,c,,,,,,,,,
357,b,,,,,,,,,
358,d,,,,,,,,,
359,d,,,,,,,,,
360,d,,,,,,,,,
361,b,,,,,,,,,
362,b,,,,,,,,,
363,c,,,,,,,,,
364,b,,,,,,,,,
365,a,,,,,,,,,
366,a,,,,,,,,,
367,d,,,,,,,,,
368,b,,,,,,,,,
369,a,,,,,,,,,
370,c,,,,,,,,,
371,d,,,,,,,,,
372,a,,,,,,,,,
373,d,,,,,,,,,
374,a,,,,,,,,,
375,a,,,,,,,,,
376,d,,,,,,,,,
377,c,,,,,,,,,
378,c,,,,,,,,,
379,b,,,,,,,,,
380,c,,,,,,,,,
381,b,,,,,,,,,
382,b,,,,,,,,,
383,a,,,,,,,,,
384,a,,,,,,,,,
385,c,,,,,,,,,
386,b,,,,,,,,,
387,b,,,,,,,,,
388,b,,,,,,,,,
389,c,,,,,,,,,
390,c,,,,,,,,,
391,d,,,,,,,,,
392,c,,,,,,,,,
393,c,,,,,,,,,
394,b,,,,,,,,,
395,d,,,,,,,,,
396,a,,,,,,,,,
397,b,,,,,,,,,
398,a,,,,,,,,,
399,c,,,,,,,,,
400,b,,,,,,,,,
401,b,,,,,,,,,
402,b,,,,,,,,,
403,a,,,,,,,,,
404,a,,,,,,,,,
405,b,,,,,,,,,
406,a,,,,,,,,,
407,b,,,,,,,,,
408,a,,,,,,,,,
409,b,,,,,,,,,
410,d,,,,,,,,,
411,d,,,,,,,,,
412,a,,,,,,,,,
413,a,,,,,,,,,
414,a,,,,,,,,,
415,a,,,,,,,,,
416,d,,,,,,,,,
417,b,,,,,,,,,
418,c,,,,,,,,,
419,b,,,,,,,,,
420,d,,,,,,,,,
421,a,,,,,,,,,
422,a,,,,,,,,,
423,c,,,,,,,,,
424,b,,,,,,,,,
425,a,,,,,,,,,
426,a,,,,,,,,,
427,a,,,,,,,,,
428,c,,,,,,,,,
429,c,,,,,,,,,
430,b,,,,,,,,,
431,b,,,,,,,,,
432,c,,,,,,,,,
433,c,,,,,,,,,
434,b,,,,,,,,,
435,a,,,,,,,,,
436,c,,,,,,,,,
437,d,,,,,,,,,
438,d,,,,,,,,,
439,c,,,,,,,,,
440,c,,,,,,,,,
441,b,,,,,,,,,
442,c,,,,,,,,,
443,a,,,,,,,,,
444,b,,,,,,,,,
445,c,,,,,,,,,
446,b,,,,,,,,,
447,d,,,,,,,,,
448,a,,,,,,,,,
449,b,,,,,,,,,
450,b,,,,,,,,,
451,b,,,,,,,,,
452,d,,,,,,,,,
453,b,,,,,,,,,
454,a,,,,,,,,,
455,b,,,,,,,,,
456,a,,,,,,,,,
457,a,,,,,,,,,
458,a,,,,,,,,,
459,a,,,,,,,,,
460,c,,,,,,,,,
461,d,,,,,,,,,
462,c,,,,,,,,,
463,b,,,,,,,,,
464,d,,,,,,,,,
465,d,,,,,,,,,
466,c,,,,,,,,,
467,c,,,,,,,,,
468,b,,,,,,,,,
469,d,,,,,,,,,
470,a,,,,,,,                                                                                                           ,,
471,c,,,,,,,                          ,,                     
472,b,,,,,,                                                                                                               ,,,                
473,d,,,,,,,,,                                                                                                                            
474,a,,,,,,,,,
475,c,,,,,,,,,
476,a,,,,,,,,,
477,b,,,,,,,,,
478,b,,,,,,,,,
479,a,,,,,,,,,
480,b,,,,,,,,,
481,b,,,                                                                                                                                                             ,,,,,,
482,c,,,,,,,,,
483,c,,,,,,,,,
484,a,,,,,,,,,
485," b                                                      
",,,,,,,,,
486,d,,,,,,,,,
487,d,,,,,,,,,
488,a,,,,,,,,,
489,a,,,,,,,,,
490,d,,,,,,,,,
491,a,,,,,,,,,
492,b,,,,,,,,,
493,d,,,,,,,,,
494,c,,,,,,,,,
495,b,,,,,,,,,
496,b,,,,,,,,,
497,a,,,,,,,,,
498,c,,,,,,,,,
499,d,,,,,,,,,
500,d,,,,,,,,,
501,b,,,,,,,,,
502,b,,,,,,,,,
503,b,,,,,,,,,
504,a,,,,,,,,,
505,c,,,,,,,,,
506,a,,,,,,,,,
507,c,,,,,,,,,
508,a,,,,,,,,,
509,b,,,,,,,,,
510,a,,,,,,,,,
511,c,,,,,,,,,
512,a,,,,,,,,,
513,d,,,,,,,,,
514,c,,,,,,,,,
515,d,,,,,,,,,
516,d,,,,,,,,,
517,a,,,,,,,,,
518,d,,,,,,,,,
