q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
18,A ship Is moving from the eastern side of ‘s+ Aleutian Islands towards Dutch Harbour. ‘+> ¥t crosses 1800 meridian on Ist January 1999 at 23:30 hr. What time and date will be recorded by the captain of the ship in his diary after one-hour journey from the point of crossing of the meridian?.,"January 1, 00:30 hr","January 2, 00:30 he","January 3, 00:30 hr","January 4, 00:30 hr",UPSC CSE Pre,1999,,
19,Which of the following scholars has suggested that the Earth originated from the gases and the dust particles?,James Jeans,H. Alfven,F Hoyal,O. Schmidt,UPSC CSE Pre,1999,,
20,One Astronomical unit is average distance-,Between Earth and Sun,Between Earth and Moon,Between Jupiter and Sun,Pluto and Sun,UPSC CSE Pre,1998,,
21,"Consider the following statements regarding asteroids: 
1. Asteroids are rocky debris of varying sizes orbiting the sun.
2. Most of the asteroids are small but some have diameters as large as 1000 km.
3. The orbit of asteroids lies between the orbits of Jupiter and Saturn.
Of these statements","1,2 and 3 are correct",2 and 3 are correct,Land 2 are correct,1 and 3 are correct,UPSC CSE Pre,1998,,
22,Which one of the following Stars is nearest to the Earth?,Polaris,Alpha Centauri,Sun,Sicius,UPSC CSE Pre,1997,,
23,Which one of the following conditions is most relevant for the presence of life on Mars?,Atmospheric composition,Thermal conditions,Occurrence of ice cap and frozen water,Occurrence of ozone,UPSC CSE Pre,1997,,
24,The group of small pleces of rock revolving round the sun between the orbits of Mars and Jupiter are called:,Meteors,Comets,Metroid,Asteroids,UPSC CSE Pre,1997,,
25,"The tail of comet is directed away from the Sun, because-","As the Comet rotates around the Sun, the lighter mass of Comet is pushed away due to centrifugal force alone.","As the Comet rotates, the lighter mass of the Comet is attracted by some stars situated in the direction of its tail.",The radiation emitted by the Sun exerts a radial pressure on the comet throwing its tail away from the Sun.,The Tatl of the Comet always exists in the same orientation.,UPSC CSE Pre,1997,,
26,"If the earth’s direction of rotation Is reversed, what should be the IST when it is noon at the International Date Line?",06.30 hrs,05.30 hrs,18.30 hes,17.30 bes,UPSC CSE Pre,1997,,
27,"Q27, Consider the following Statements: 
A person in spacecraft situated at the mid of earth and Sun will see that~
1. Sky is black
2. Stars do not twinkle
3. The temperature outside the spacecraft is more than that of the eacth surface

Which of the following is true?",Only 3,Only 1 and 2,Only 1 and 3,"1,2 and3",UPSC CSE Pre,1996,,
28,Meteor Is a-,Past moving star.,A piece of matter which has entered the eacth’s atmosphere from outer space.,Part of the stellar system.,"Tailless Comet,",UPSC CSE Pre,1995,,
29,"The standard time of the following countries is ahead of or behind Greenwich Mean Time depending on whether they are East or West of the longitude passing through Greenwich,

1, Cuba
2. Greece
3. Iraq
4. Costa Rica
5. Japan

Which once of the following sequential orders gives the correct arrangement of the countries according to their standard time from ahead to behind GMT?","5,3,2,1,4","2,.4,135","4,1,3,2,5

(4) 3,5,4,1,2",,UPSC CSE Pre,1995,,
30,The colour of the star indicates its-,Distance from Sun,Lighting or glow,Distance from earth,Temperature,UPSC CSE Pre,1994,,
31,"A plane starts flying from 30° northern latitude and 50° eastern longitude and lands at the opposite end of the earth, where will it land-","30° Northern latitude, 50° Western longitude","30° Southern latitude, 50° Western longitude","50° Northern latitude, 30° Western longitude","30° Southern latitude, 130° Western longitude",UPSC CSE Pre,1994,,
32,When it is noon along 82° 30’ E longitudealong what degree of longitude it will be6.30 a.m?,At 165° East,At 67° 30° West,AtO® East or West,At 82° 30° West,UPSC CSB Pre,1994,,
33,Which one of the following is not an Astronomical object?,Pulsar,Brittle star,Black hole,Quasar,UPSC CSE Pre,1993,,
34,The Solar Eclipse achieves totality only in limited geographical regions because-,The size of the shadow of the Moon onthe Earth is small as compared to the cross section of the Earth.,"The Earth is not a smooth flat surface but has clevations and depressions,","The trajectories of the Earth around the Sun and the Moon around the Earth are not perfect circles,",Sun rays can reach most of the peripheral regions of the shadow of the Moon due to atmospheric refraction.,UPSC CSE Pre,1993,,
35,"Consider one special point at the Earth’s surface (e.g., City Delhi) its temperature at noon (c.g., 12 o'clock) will be higher in
Summer in comparison to winter because-",Earth is much closer to Sun in Summer in comparison to winter.,In winter the Sun rays falling on the Earth bends more towards the Earth's surface in comparison to the summer.,The vaporization of water happens only in winter due to environmental precipitation,"In winters, the Earth’s axis becomes more inclined towards the Sun.",UPSC CSE Pre,1993,,
36,Black-hole is:,a flight recorde in aeroplane,a spot on the sun,a place in Antarctica,a collapsed star,U.P.P.C.S.(Pre),2019,,
37,"Consfder the following events:
1. First reptiles
2. First insects
3. Shelled animals
4. First mammals
Arrange the above events in Chronological order of their origin on the earth and select the correct answer from the codes given below: (U.P. P.C.S. (Pee) 2018)","2,1,3,4","2,3,1,4","3,2,1,4","2, 4, 5,3",,,,
38,Which of the following pairs is not properly matched?,The largest planet of the Solar System -Jupiter,The smallest planet of the Solar System -Mercury,The brightest planet of the Solar System + Venu,The slowest moving planet of Solar . System - Mars,U.P.P.C.S. (Mains),2011,,
39,The ‘blue moon’ phenomenon occurs when-,Two full moons occur in the same month.,Four full moons appear in two consecutive months of the same calendar year.,"Two full moons appear in the same month, thrice in a calendar,",None of the above.,U.P.P.C.S. (Mains),2009,,
