Q. No,Question_HTML,Option_A,Option_B,Option_C,Option_D,Subject,Correct Option,Difficulty Level,Nature,Explanation_HTML
1, <p>The purpose of the inclusion of Directive Principles of State Policy in the Indian Constitution is to establish</p>,(a)  Political democracy,(b)  Social democracy,(c)  Gandhian democracy,(d)  Social and economic democracy,Polity and Governance,d,Easy,Fundamental(F),<ul><li>Social and economic democracy is the foundation on which political democracy would be a way of life in the Indian Polity. This concept inspires the DPSP.</li></ul>
2, <p>Which one of the following Articles of the Directive Principle of State Policy deals with the promotion of international peace and security ?</p>,(a)  51,(b)  48 A,(c)  43 A,(d)  41,Polity and Governance,a,Medium,Fundamental(F),<ul><li>Article 51 deals with the Promotion of International peace and security.</li></ul>
3," <p>Match List I with List II  and select the correct answer using the codes given below the lists:</p><p> Listt I                                                                     List II</p><p>(Article of Indian Constitution)                       (Provisions)</p><p>A. Article 16(2)               1. No person shall be deprived of his property save by the authority of law</p><p>B. Article 29(2).             2. No person can be discriminated against in the matter of public appointment on the ground of race,                                                     religion or caste </p><p>C. Article 30(1).              3. All minorities whether based on religion or language shall have the fundamental right to establish and                                               administer educational institutions of their choice. </p><p>D.Article 31(1).               4. No citizen shall be denied admission into any education institution maintained by the State, or                                                             receiving State aid, on grounds of religion, race, caste, language or any of them</p><p>      <strong> A B  C  D   </strong>                       <strong>  A  B  C  D</strong></p>","(a)  2,  4,  3 , 1","(b)  3,  1,  2,  4","(c)  2,  1,  3 ,  4","(d)  3,  4,  2 , 1",Polity and Governance,a,Easy,Fundamental(F),"<ul><li>Article 16(2): No person can be discriminated against, in the matter of public employment, on the grounds of religion, race, caste, sex, descent, place of birth, residence etc. Article 29(2): No citizen shall be denied admission into any educational institution maintained by the state or receiving aid out of State funds on grounds of religion, race, caste, language. Article 30(1): All minorities, whether based on religion, or language, shall have the right to establish and administer educational institutions of their choice. Article 31(1): No person shall be deprived of property save by the authority of law.</li></ul>"
4," <p>In the Indian Constitution, the Right to Equality is granted by five Articles. They are</p>",(a)  Article 16 to Article 20,(b)  Article 15 to Article 19,(c)  Article 14 to Article 18,(d)  Article 13 to Article 17,Polity and Governance,c,Easy,Fundamental(F),"<ul>
<li>Article 14 â€“ Equality before law. Article 15 â€“ Prohibition of Discrimination. Article 16 â€“ Equality of opportunity. Article 17 â€“ Abolition of Untouchability. Article 18 â€“ Abolition of titles.</li>
</ul>"
5, <p>Which one of the following rights was described by Dr. B. R. Ambedkar as the heart and soul of the Constitution ?</p>,(a)  Right to freedom of religion,(b)  Right to property,(c)  Right to equality,(d)  Right to Constitutional remedies,Polity and Governance,d,Easy,Fundamental(F),"<ul><li>According to Dr. B. R. Ambedkar, Right to Constitutional remedies is the soul of the Constitution and very heart of it.</li></ul>"
6," <p>With reference to Indian Polity, which one of the following statements is correct ?</p>",(a)  Planning Commission is accountable to Parliament.,(b)  President can make ordinance only when either of the two Houses of Parliament is not in session.,(c)  The minimum age prescribed for appointment as a Judge of the Supreme Court is 40 years.,(d)  National Development Council is constituted of Union Finance Minister and the Chief Ministers of all the States.,Polity and Governance,b,Easy,Applied(A),<ul><li>President can promulgate ordinances when the Parliament is not in session. These ordinances must be approved by the Parliament within six weeks from its re-assembly. He can also withdraw an ordinance at any time.</li></ul>
7, <p>Which one of the following amendments to the Indian Constitution empowers the President to send back any matter for reconsideration by the Council of Ministers ?</p>,(a)  39th,(b)  40th,(c)  42nd,(d)  44th,Polity and Governance,d,Medium,Fundamental(F),<ul><li>44th Amendment to the Indian Constitution (1978) empowers the President to send back any matter for reconsideration by the Council of Ministers.</li></ul>
8, <p>The Consultative Committee of Members of Parliament for Railway Zones is constituted by the</p>,(a)  President of India,(b)  Ministry of Railways,(c)  Ministry of Parliamentary Affairs,(d)  Ministry of Transport,Polity and Governance,c,Medium,Fundamental(F),<ul><li>The Ministry of Parliamentary Affairs constitutes Consultative Committees of M.P.s attached to various ministries and arranges meetings thereof.</li></ul>
9, <p>The term of the Lok Sabha </p>,(a)  Cannot be extended under any circumstances,(b)  Can be extended by six months at a time,(c)  Can be extended by one year at time during the proclamation of emergency,(d)  Can be extended for two years at a time during the proclamation of emergency,Polity and Governance,c,Medium,Applied(A),<ul><li>The term of the Lok Sabha can be extended during the period of national emergency by a law of Parliament for one year of at a time for any length of time.</li></ul>
10," <p>Consider the following statements with reference to India</p><ol><li>The Chief Election Commissioner and other Election Commissioners enjoy powers but receive unequal salaries.</li><li>The Chief Election Commissioner is entitled to the same salary as is provided to a judge of the Supreme Court.</li><li>The Chief Election Commissioner shall not be removed from his office except in like manner and on like grounds as a judge of the Supreme Court.</li><li>The term of office of the Election Commissioner is five years from the date he assumes his office or till the day he attains the age of 62 years, whichever is earlier.</li></ol><p>Select the correct answer using the code given below.</p>",(a)  1 and 2,(b)  2 and 3,(c)  1 and 4,(d)  2 and 4,Polity and Governance,b,Medium,Fundamental(F),"<ul><li>Chief Election Commissioner and the two other Election Commissioners have equal powers and receive equal salary. So 1, is wrong. The term of office of the Election Commissioner is 6 years from the date he assumes his office or till the day he attains the age of 65 years, whichever is earlier. So statement 4, is wrong.</li></ul>"
