year,subject_name,question_html,option_a,option_b,option_c,option_d,correct_option
2013,Polity and Governance,"        <p>What will follow if a Money Bill is substantially amended by the Rajya Sabha?</p>
      ","(a) The Lok Sabha may still proceed with the Bill, accepting or not accepting the recommendations of the Rajya Sabha.",(b) The Lok Sabha cannot consider the Bill further.,(c) The Lok Sabha may send the Bill to the Rajya Sabha for reconsideration.,(d) The President may call a joint sitting for passing the Bill.,a
2013,Polity and Governance,"        <p>Which one of the following statements is correct?</p>
      ","(a) In India, the same person cannot be appointed as Governor for two or more States at the same time.",(b) The Judges of the High Court of the States in India are appointed by the Governor of the State just as the Judges of the Supreme Court are appointed by the President.,(c) No procedure has been laid down in the Constitution of India for the removal of a Governor from his/her post.,"(d) In the case of a Union Territory having a legislative setup, the Chief Minister is appointed by the Lt. Governor on the basis of majority support.",c
2013,Geography,"        <p>Which one of the following pairs is correctly matched?</p><p>Geographical feature                               Region</p>
      ",(a) Abyssinian Plateau:   Arabia,(b) AtlasMountains:         North-Western Africa,(c) Guiana Highlanda:    South-Western Africa,(d) Okavango Basin:      Patagonia,b
2013,Art and Culture," <p>With reference to the history of Indian rock-cut architecture, consider the following statements:</p><ol><li>The caves at Badami are the oldest surviving rock-cut caves in India.</li><li>The Barabar rock-cut caves were originally made for Ajivikas by Emperor Chandragupta Maurya.</li><li>At Ellora, caves were made for different faiths.</li></ol><p>Which of the statements given above is/are correct?</p>",(a)  1 only,(b)  2 and 3 only,(c)  3 only,"(d)  1, 2 and 3",c
2013,Science and Technology,<p>Recombination DNA technology (Genetic Engineering) allows genes to be transferred</p><p>1. across different species of plants</p><p>2. from animals to plants</p><p>3. from microorganisms to higher organisms</p><p>Select the correct answer using the codes given below.</p>,(a)  1 only,(b)  2 and 3 only,(c)  1 and 3 only,"(d)  1, 2 and 3",d
2013,Ancient and Medieval History," <p>The Chinese traveler Yuan Chwang (Hiuen Tsang) who visited India recorded the general conditions and culture of India at that time. In this context, which of the following statements is/are correct?</p><p>1. The roads and river-routes were completely immune from robbery.</p><p>2. As regards punishment for offences, ordeals by fire, water and poison were the instruments for determining the innocence or guilt of a person.</p><p>3. The tradesmen had to pay duties at ferries and barrier stations.</p><p>Select the correct answer using the codes given below.</p>",(a) 1 only,(b) 2 and 3 only,(c) 1 and 3 only,"(d) 1, 2 and 3",b
2013,Environment,<p>Consider the following: </p><p>1. Star tortoise </p><p>2. Monitor lizard </p><p>3. Pygmy hog </p><p>4. Spider monkey </p><p>Which of the above are naturally found in India? </p>,"(a)  1, 2 and 3 only",(b)  2 and 3 only,(c)  1 and 4 only,"(d)  1, 2, 3 and 4",a
2013,Environment,<p>Which of the following can be found as pollutants in the drinking water in some parts of India?</p><p>1. Arsenic</p><p>2. Sorbitol</p><p>3. Fluoride</p><p>4. Formaldehyde</p><p>5. Uranium</p><p>Select the correct answer using the codes given below.</p>,(a)  1 and 3 only,"(b)  2, 4 and 5 only","(c)  1, 3 and 5 only","(d)  1, 2, 3, 4 and 5",c
2013,History of Modern India,"         <p>With reference to Indian History, the Members of the Constituent Assembly from the Provinces were</p>
      ",(a)  directly elected by the people of those Provinces.,(b)  nominated by the Indian National Congress and the Muslim League.,(c)  elected by the Provincial Legislative Assemblies.,(d)  selected by the Government for their expertise in constitutional matters.,c
2013,Environment,<p>Consider the following animals: </p><p>1. Sea cow </p><p>2. Sea horse </p><p>3. Sea lion </p><p>Which of the above is/are mammal/mammals? </p>,(a)  1 only,(b)  1 and 3 only,(c)  2 and 3 only,"(d)  1, 2 and 3",b
2013,Polity and Governance,"<p>Consider the following statements:</p><p>1. An amendment to the Constitution of India can be initiated by an introduction of a bill in the Lok Sabha only.</p><p>2. If such an amendment seeks to make changes in the federal character of the Constitution, the amendment also requires to be ratified by the legislature of all the States of India.</p><p>Which of the statements given above is/are correct?</p>",1 only,2 only,Both 1 and 2,Neither 1 nor 2,d
