q_no,q_statement,a,b,c,d,exam,year,correct_option,explanation
21,"From the third century AD when the Huna invasion ended the Roman Empire, the Indian merchants relied more and more on the:",African trade,Western-European trade,South-East Asian trade,Middle-Eastern trade,UPSC CSE Pre,1999,c,"Exp) Option c is the correct answer.
The Hunas were a nomadic people from Central Asia who
invaded India in the 5th century CE. The Hunas were skilled
warriors and they were able to defeat the Gupta Empire,
which was the dominant power in India at the time. The Huna
invasion caused widespread destruction and disruption, and
it led to the decline of trade and commerce in India, The
Indian merchants were forced to look for new markets, and
they turned to Southeast Asia. ‘he maritime trade with the
regions of South-East Asia, such as Indonesia, Malaysia,
Thailand, Cambodia, Vietnam, etc., flourished during this
period, The Indian merchants also spread their culture,
religion, and language to these regions."
22,Which one of the following ports handled the North Indian trade during the Gupta period?,Lamralipti,Bhadoch,Kalyan,Cambay,UPSC CSE Pre,1999,a,"Exp) Option a is the correct answer.
During the Gupta period, the port that handled the North
Indian trade was Taimralipti. Tamralipti was a port city and
capital of Suhma Kingdom in ancient India, located on the
coast of the Bay of Bengal. The ‘lamluk town in present-day
Purba Medinipur, West Bengal, is generally identified as the
site of Tamralipti
‘Tamralipti was an important centre of Buddhism and Jainism
as well. It had several Buddhist monasteries and an Ashokan
pillar. It was also the departure point of the Buddhist
missionary expedition sent by Ashoka to Sri Lanka in the
3rd century BCE.
| Important Tips |
« Bhadoch is a port town in present-day Bharuch
district, Gujarat, India. It is located on the mouth of
f the Narmada river. It was an ancient trade centre and a
major port of western India. It was known as Barygaza,
Barugaza, Barukaccha, etc. by different sources. It
| was mentioned by Ptolemy, Pliny, Periplus of the
Erythraean Sea, and the Chinese pilgrim Xuanzang. It
exported cotton, silk, indigo, ivory, pearls, and other
commodities, and imported wine, gold, silver, and
luxury goods. |
e Cambay is a city in present-day Kheda district,
Gujarat, India. It is located on the coast of the Gulf.
| of Khambhat. It was an ancient trade centre and a
major port of western India. Jt was known as Canbaye,
Cambetha, Cambaytha, etc. by different sources. It was
mentioned by Marco Polo, [bn Battuta, Niccolé de’
| Conti, and the Portuguese traveller Duarte Barbosa.
It exported colton textiles, silk fabrics, brocade work,
indigo dyeing, musk perfume, pearls, diamonds, and
other commodities, and imported horses, metals,
spices, and luxury goods.
> Kalyani port: It was an ancient port of the Satavahana °
dynasty that was situated on the western Deccan and ;
was involved in maritime trade with West Asia and
Africa | |"
23,Which one of the following sculptures invariably used green schist as the medium?,Mauryan sculptures,Mathura sculptures,Bharhut sculptures,Gandhara sculptures,UPSC CSE Pre,1996,d,"Exp) Option d is the correct answer.
Gandhara sculptures invariably used green schist as the
medium. Gandhara sculptures are a style of Buddhist art
that was developed in the northwestern Indian subcontinent
during the Kushan Empire (1st to 3rd centuries CE). The
sculptures are characterized by their use of Greco-Roman
elements, such as realistic proportions and drapery, and
their depiction of the Buddha in human form. The green
schist is a type of stone that is found in the region of
Gandhara. It is a soft stone that is easy to carve, and it has
a beautiful green color. The sculptors of Gandhara used
green schist to create their sculptures because it was the
perfect material for their style of art."
24,The silver coins issued by the Guptas were called:,Karshapana,Dinara,Rupaka,Nisc,UPSC CSE Pre,1996,c,"Exp) Option c is the correct answer.
Rupaka was the name of the silver coins issued by the Gupta
rulers in ancient India. The word Rupaka means “having a
form or image” in Sanskrit. The Rupaka coins had various
designs and inscriptions on both sides, depicting the images
and names of the Gupta kings, their queens, their gods, and
their symbols. Some of the most famous Rupaka coins are
those of Chandragupta II, Kumaraegupta 1, and Skandagupta.
Important Tips

e The Rupaka coins were made of silver and weighed
about 2 grams. They were modeled after the Roman
denarius and the Sassanian drachma, which were also

silver coins used by the Roman and Persian empires
| respectively.

e ‘The Gupta kings adopted the Rupaka as a symbol of
their political and economic ties with the Romans and
Persians.

e The Rupaka coins were widely circulated and accepted
as a standard currency in India and other countries.

e They also reflected the artistic, cultural, and religious
achievements of the Gupta period, which is considered
as the golden age of Indian history.

Lee"
25,"Match list-I with list-II and select the correct answer using the codes given below
the lists:
List-I (Eras)  List-II (Reckoned From)
A.Vikrama era    1.310BCE
B.Saka Era       2.320BCE 
C.Gupta Era      3.78CE
D.Kal Era        4.58BCE 
                 5.248BCE
Code: 

A B C D",2 4 5 1,1 3 2 4,4 5 2 3,4 3 2 1,UPSC CSE Pre,1995,d,"Exp) Option d is the correct answer.

Vikrama era: This era was founded by King Vikramaditya
who drove the Sakas out of Ujjain in 58 BCE. Hence, this
era is celebrated as a symbol of victory.

Saka era: This era was founded by the Saka king who
occupied Ujjain 137 years after Vikramaditya in 78 CE. It
is also known as the Shalivahana era or the Indian national
calendar

Gupta era: This era was founded by the Gupta king
Chandragupta I, who assumed the imperial title of
Maharajadhiraja and established the Gupta dynasty in 320
CE. It is also known as the Chandra era or the Golden age
of India.

Kali era: This era is based on the Hindu cosmological cycle
of four yugas or ages, of which Kali Yuga is the last and the
most degenerate one. It is believed to have started at midnight
on 18 February 3102 BCE, which is also considered as the
date when Krishna left the earth. It is often used for religious
dates and rarely for political ones"
26,"In Sanskrit plays written during the Gupta period, women and Sudras speak:",Sanskrit,Prakrit,Pali,Sauraseni,UPSC CSE Pre,1995,b,"Exp) Option b is the correct answer,
In Sanskrit plays written during the Gupta period, women
and Sudras speak Prakrit, while men and upper-class
characters speak Sanskrit. This was done to reflect the social
and linguistic diversity of the Indian society and to create a
contrast between the refined and the rustic characters. Some
of the famous Sanskrit playwrights who used Prakrit in their
plays were Kalidasa, Bhasa, Shudraka, and Vishakhadatta.
Prakrit was derived from Sanskrit, the classical and literary
language of ancient India, but was simpler and more natural.
Important Tips |
+ Paliisa Prakrit dialect that was used in carly Buddhism.
It is the language of the Pali Canon, the collection of
Buddhist scriptures.
is Sauraseni is a Prakrit dialect that was spoken in the
region of Saurashtra in northwestern India. It was
the language of many of the Sanskrit plays that were
written during the Gupta period. |"
27,Torman was from the racial group of-,Sithian,Huna,Yaochi,Saka,UPSC CSE Pre,1995,b,"Exp) Option b is the correct answer.
Torman was from the racial group of Huna. The Huna
people were a nomadic group from Central Asia who played
a significant role in the history of the Indian subcontinent
during the Gupta period and afterwards.
[ Important Tips |
« ‘Tloramana was an Huna king who ruled in northern
India in the late 5th and the early 6th century CE.
« The Sanjeli inscription of Toramana speaks of his
conquest and control over Malwa and Gujarat.
¢ His territory also included Uttar Pradesh, Rajasthan
and Kashmir. |
¢ According to the Risthal inscription, discovered |
in 1983, Huna King oramana was defeated by the
Aulikara King Prakashadharma of Malwa."
28,Who among the following is not associated with medicine in ancient India?,Dhanvantari,Bhaskaracharya,Charaka,Susruta,UPSC CSE Pre,1993,b,"Exp) Option b is the correct answer.
Bhaskaracharya was an ancient Indian mathematician and
astronomer who is not associated with medicine in ancient
India. He is regarded as one of the greatest mathematicians
of India and the world.
Bhaskaracharya is the author of the Siddhanta Shiromani,
a treatise on mathematics and astronomy that consists
of four parts: Lilavati (arithmetic), Bijaganita (algebra),
Grahaganita (planetary mathematics), and Goladhyaya

(spherical geometry), The Siddhanta Shiromani: contains
many original and remarkable contributions to various
fields of mathematics, such as arithmetic, algebra, geometry,
trigonometry, calculus, and number theory.
Dhanvantari is considered the god of medicine and is
associated with Ayurveda, Charaka and Susruta were ancient
Indian physicians who made significant contributions to
the field of medicine. Charaka is known for the “Charaka
Samhita,” a foundational text in Ayurveda, while Susruta is
known for the “Susruta Samhita,” which contains detailed
knowledge of surgery and medicine.
Important Tips
Some of Bhaskaracharya’s notable discoveries include:
« The concept of zero and negative numbers
* The Solution of indeterminate equations of the first
and second degree
« The derivation of the formula for the area of a cyclic
quadrilateral
¢ The calculation of the value of pi to 12 decimal places
e The proof of the Pythagorean theorem by calculating
| the diagonal of a rectangle
« The approximation of the sine function by a rational
expression
« The concept of differential calculus and its application
to astronomical problems
e The calculation of the time taken by the earth to orbit
the sun as 365.2588 days
[2A | Other Examination: Previous Years’
| i Questions « a"
29,Which one of the following pairs is not correctly matched?,Sarvaverman: Gaya Copper Plate,Ishwarverman: Jaunpur Stone Inscription,Ishanverman: Harha Stone Inscription,Jivit Gupta II: Deva Barnark Inscription,UPPCS (Pre),2022,a,"Exp) Option a is the correct answer,
Sarvaverman : Gaya Copper Plate pair is not correctly
matched. The Gaya Copper Plate inscription records the
grant of two villages by Samudragupta toa Brahmin named
Jayabhatta in the ninth year of his reign. The inscription
also praises Samudragupta’s achievements, such as his
conquests, his performance of the Ashvamedha sacrifice,
and his donations of cows and gold. The inscription is dated
in the Gupta era 165, which corresponds to 484 CE in the
Gregorian calenda.
Ishwarverman : Jaunpur Stone Inscription is correctly
matched. The inscription mentions  Ishwarverman’s
genealogy, titles, and achievements, such as his victory over
the Hunas and his protection of the holy places.
Ishanverman : Harha Stone Inscription is correctly
matched. The inscription mentions Ishanverman’s genealogy,
titles, and achievements, such as his conquests of Magadha,
Malwa, and Kosala.
Jivit Gupta I] : Deva Barnark Inscription: It records the
grant of a village by Jivit Gupta II to a Brahmin named
Prabhakara in the 10th year of his reign."
30,"With reference to Chandragupta-II, which of the following is/are correct? 

1.The strongest evidence in the context of Shaka Victory is the silver coins of this King.
2.The weight of these coins used to be about 33 grains.
Select the correct answer using the codes given below:",Both 1 and 2,Only 1,Neither 1 nor 2,Only 2,UPPCS (Pre),2022,a,"Exp) Option a is the correct answer.

Statement 1 is correct: Chandragupta-II issued silver coins
in imitation of the Shaka coins, which bore his name and title
on one side and a goddess on the other side. These coins are
known as the “‘Chandra-Simha’ type, as they have the image
of a lion (simha) along with the name of Chandragupta
(Chandra). These coins are considered to be the strongest
evidence of his victory over the Shaka rulers, as they show
his authority and influence over their domains.

Statement 2 is correct: The weight of these coins used to
be about 33 grains. These silver coins were known for their
standardized weight, which was approximately 33 grains
(about 2.14 grams)."
