Question no,solution
171,c
172,d
173,a
174,c
175,d
176,c
177,a
178,a
179,c
180,b
181,d
182,c
183,d
184,d
185,c
186,a
187,b
188,c
189,c
190,b
191,c
192,c
193,b
194,b
195,c
196,a
197,d
198,a
199,b
200,b
201,d
202,b
203,c
204,c
205,a
206,a
207,a
208,b
209,d
210,a
211,d
212,c
213,d
214,a
215,a
216,a
217,d
218,c
219,c
220,a
221,a
222,c
223,d
224,d
225,d
226,a
227,a
228,d
229,a
230,c
231,a
232,c
233,c
234,b
235,c
236,c
237,d
238,a
239,d
240,a
241,d
242,c
243,c
244,a
245,b
246,b
247,b
248,c
249,c
250,c
251,a
252,b
253,b
254,c
255,d
256,a
257,a
258,d
259,b
260,b
261,b
262,b
263,c
264,b
265,c
266,d
267,d
268,a
269,d
270,c
271,b
272,d
273,d
274,d
275,d
276,c
277,c
278,c
279,c
280,d
281,a
282,b
283,d
284,b
285,c
286,b
287,a
288,b
289,c
290,a
291,a
292,c
293,a
294,d
295,b
296,b
